Table No.18 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED  UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING APRIL, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,VYONEESH ROSEBANK TECHNOLOGIES PVT LTD,Australia,Rosebsnk Engineering Pty Ltd,NEW DELHI,Manufacture of motor vehicles n.e.c.,2.88,0.05,
2,VYONEESH ROSEBANK TECHNOLOGIES PVT LTD,Australia,Rosebank Engineering Pty Ltd,NEW DELHI,Manufacture of motor vehicles n.e.c.,5.37,0.09,
3,GLOBATT INDIA PRIVATE LIMITED,Bangladesh,RAHIMAFROOZ BATTERIES LIMITED,NEW DELHI,"Manufacture of electric accumulator incuding parts thereof (separators, containers, covers)",1.50,0.02,
4,CHRISTIAN LOUBOUTIN INDIA PRIVATE LTD,France,CHRISTIAN LOUBOUTIN S.A,NEW DELHI,Retail sale of footwear,4.84,0.08,
5,M/S SHANTHA BIOTECNICS LIMITED,France,Sanofi Pasteur Meriex Sas,HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",997.36,15.89,
6,VOGEL BUSINESS MEDIA INDIA PVT LTD,Germany,Vogel GMBH,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",2.58,0.04,
7,VOGEL BUSINESS MEDIA INDIA PVT LTD,Germany,Vogel Business Media GMBH and co. KG,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",0.00,0.00,
8,VOGEL BUSINESS MEDIA INDIA PVT LTD,Germany,Vogel Medien Holding GMBH and co. KG,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",3.47,0.06,
9,DURAVIT INDIA PVT. LTD.,Germany,DURAVIT AG,AHMEDABAD,"Manufacture of non- refractory ceramic sanitary wares: sinks, baths, watercloset pans, flushing cistern",24.68,0.39,
10,VOGEL BUSINESS MEDIA INDIA PVT LTD,Germany,Vogel GMBH,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",3.32,0.05,
