Table No.18 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED
UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JANUARY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ICICI BANK LTD.,Baharain,VIKAS SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.01,0.03,
2,ICICI BANK LTD.,Baharain,VIKAS SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.05,0.03,
3,ICICI BANK LTD.,Baharain,VIKAS SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.92,0.01,
4,ICICI BANK LTD.,Baharain,VIKAS SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.02,0.03,
5,ICICI BANK LTD.,Canada,SAIPRASAD SOMAYAJULA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.32,0.01,
6,BEL-THALES SYSTEMS LIMITED,France,THALES AIR SYSTEMS SAS,BANGALORE,Defence activities,4.80,0.08,
7,M/S ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF EN India SAS,NEW DELHI,Electric power generation using solar energy,219.12,3.52,
8,M/S ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF EN India SAS,NEW DELHI,Electric power generation using solar energy,164.02,2.64,
9,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",252.49,4.06,
10,LUPIN LTD.,Japan,TAKESHI DEGUCHI,MUMBAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",1.25,0.02,
11,M/S ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN India SARL,NEW DELHI,Electric power generation using solar energy,202.26,3.25,
12,M/S ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN India SARL,NEW DELHI,Electric power generation using solar energy,151.39,2.43,
13,AXIS INFRASTRUCTURE FUND,Mauritius,Axis India Infrastructure Holdings,MUMBAI,Management of mutual funds,4.30,0.07,
