Table No.18 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JANUARY, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,VEDANTU INNOVATIONS PRIVATE LIMITED,Australia,LIU WEI JIAN & LIU YUN SHI,BANGALORE,Other information technology and computer service activities n.e.c,11.90,0.19,
2,ATLAS SOLUTIONS AND CONSULTING PVT LTD,Australia,SADANAND MAHADEO MARATHE,MUMBAI,Providing software support and maintenance to the clients,0.10,0.00,
3,ATLAS SOLUTIONS AND CONSULTING PVT LTD,Australia,SONALI MARATHE,MUMBAI,Providing software support and maintenance to the clients,0.00,0.00,
4,THIESS INDIA PVT LTD,Australia,THIESS PTY LTD,KOLKATA,Opencast mining of hard coal,29.70,0.48,
5,CHERRYPICK TECHNOLOGIES PRIVATE LIMITED,Australia,GORE STREET NOMINEES PTY LTD,CHENNAI,Providing software support and maintenance to the clients,9.13,0.15,
6,BENGAL EXPLORATION INDIA PVT LTD,Australia,bengal minerals pty. limited,NEW DELHI,Support activities for other mining and quarrying,0.22,0.00,
7,DGX LOGISTICS INDIA PVT LTD,Australia,DAVID GOLD,MUMBAI,Cargo handling incidental to water transport,1.67,0.03,
8,MAHAPOOL PRIVATE LIMITED,Australia,AJIT KUMAR,NEW DELHI,Other publishing activities (including on-line) n.e.c.,2.77,0.04,
9,PALFINGER CRANES INDIA P LTD.,Austria,PALFINGER AREA UNITS GMBH,CHENNAI,MANUFACTURE OF LIFTING & HANDLING MACHINERY SPECIALLY DESIGNED  FOR USE UNDERGROUND,54.23,0.87,
10,STORK FERRO & MINERAL INDUSTRIES PVT LTD,Austria,STORK HOLDING GMBH,NEW DELHI,"Manufacture of other non- metallic mineral products
n.e.c. (includes asbestos yarn and fabric, and articles",27.77,0.45,
11,VA TECH WABAG LTD,Austria,DIPL ING THOMAS RASCHKE,CHENNAI,"Water collection, treatment and supply",0.90,0.01,
12,STORK FERRO & MINERAL INDUSTRIES PVT LTD,Austria,Stork Holding GmBH,NEW DELHI,"Manufacture of other non- metallic mineral products
n.e.c. (includes asbestos yarn and fabric, and articles",36.50,0.59,
13,IKEN SOLUTIONS PVT LTD,Argentina,MARCOS HORACIO UGARTE,MUMBAI,Providing software support and maintenance to the clients,0.04,0.00,
14,GLOBAL TEXTILE ALLIANCE INDIA PVT LTD,Belgium,OOSTROFIL NV,NEW DELHI,MANUFACTURE OF KNITTED OR CROCHETED TEXTILE PRODUCTS OTHER THAN IN MILLS,42.50,0.68,
15,HMSU ROLLERS (INDIA) PRIVATE LIMITED,Belgium,HANNECARD N.V,AHMEDABAD,Manufacture of other rubber products n.e.c.,11.25,0.18,
16,MANUCHAR INDIA PVT LTD,Belgium,Manuchar N. V.,NEW DELHI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture,",3.02,0.05,
17,MANUCHAR INDIA PVT LTD,Belgium,Manuchar N. V.,NEW DELHI,"Storage and warehousing n.e.c.[Includes general merchandise warehouses
and warehousing of furniture,",4.14,0.07,
18,LOTUS PHARM MANUFACTURING PRIVATE LIMITE,Belarus,SIARHEI KHVOSHCH,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.80,0.01,
19,CAN TEXTILES MANUFACTURING PRIVATE,Canada,MOHAMMED AMIRALI PANJU,AHMEDABAD,Other activities relating to finishing of textile n.e.c.,0.05,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,LIMIT,,,,,,,
20,INIVATE SOLUTIONS INDIA PVT LTD,Canada,ANITA JOHANNA BASU,MUMBAI,Research and experimental development on social sciences and humanities,0.02,0.00,
21,INIVATE SOLUTIONS INDIA PVT LTD,Canada,ANITA JOHANNA BASU,MUMBAI,"Research and experimental
development on social sciences and humanities",0.00,0.00,
22,FACES COSMETICS INDIA PVT LTD,Canada,FACES COSMETICS INC,MUMBAI,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",29.50,0.47,
23,AEROSPACE PROCESSING INDIA PVT. LTD.,Canada,MAGELLAN AEROSPACE LIMITED,BANGALORE,Machining; treatment and coating of metals,3.00,0.05,
24,CAN TEXTILES MANUFACTURING PRIVATE LIMIT,Canada,AMIRALI ABDULRASUL PANJU,AHMEDABAD,Other activities relating to finishing of textile n.e.c.,0.05,0.00,
25,GP FRODES PRIVATE LIMITED,Canada,JASON KENT RYCROFT,NEW DELHI,"Manufacture of ice-cream, kulfi etc.",22.13,0.36,
