Table No.18 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED
UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING MARCH, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,THORN LIGHTING  INDIA (P).LTD.,Austria,Zumbotel Lighting GmbH,CHENNAI,Manufacture of electric lighting equipment,81.00,1.30,
2,THORN LIGHTING  INDIA (P).LTD.,Austria,Zumtobel Lighting GmbH,CHENNAI,Manufacture of electric lighting equipment,76.00,1.22,
3,BHARTI AXA GENERAL INSURANCE COMPANY LTD,France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,143.58,2.30,
4,ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF Energies Nouvelles S.A.,NEW DELHI,Electric power generation using solar energy,146.42,2.34,
5,SANOFI-SYNTHELABO INDIA LTD,France,Sanofi S.A,MUMBAI,Manufacture of allopathic pharmaceutical preparations,900.00,14.41,
6,ZF LENKSYSTEME INDIA PVT LTD,Germany,ZF Lenksysteme GmbH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",310.80,4.98,
7,VOGEL BUSINESS MEDIA INDIA PVT LTD,Germany,VOGEL GmbH,MUMBAI,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",3.54,0.06,
8,PDA-HAB MEDIA & TRADEFAIRS PVT PTD,Germany,HEALTH AND BEAUTY HOLDING GMBH,BANGALORE,"Printing of magazines and other periodicals, books and brochures, maps, atlases, posters etc.",10.00,0.16,
9,PASCO GEOMATICS INDIA PVT LTD,Japan,PASCO CORPORATION,CHENNAI,Research and experimental development on natural sciences and engineering,0.56,0.01,
10,ASB INTERNATIONAL PRIVATE LIMITED,Japan,nissei asb machine co ltd,MUMBAI,"Manufacture of machinery for working soft rubber or plastics
or for the manufacture of products of these",770.00,12.33,
11,ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN S.A.,NEW DELHI,Electric power generation using solar energy,146.42,2.34,
12,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LTD,NEW DELHI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",57.50,0.92,
13,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LTD,NEW DELHI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and
powder",50.00,0.80,
14,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LTD,NEW DELHI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",40.00,0.64,
15,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LTD,NEW DELHI,Growing of other cereals,50.00,0.80,
16,ORTEL COMMUNICATIONS LIMITED,Mauritius,"NSR-PE, Mauritius, LLC",NEW DELHI,Activities of providing internet access by the operator of the wired infrastructure,150.00,2.40,
17,FIELD FRESH FOODS,Mauritius,DMPL INDIA LIMITED,NEW DELHI,Growing of other cereals,25.00,0.40,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PVT. LTD.,,,,,,,
18,ORTEL COMMUNICATIONS LIMITED,Mauritius,"NSR-PE Mauritius, LLC",NEW DELHI,"Construction/erection and maintenance of power, telecommunication and transmission lines",150.00,2.40,
19,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LTD,NEW DELHI,"Manufacture of fruit or vegetable juices and their concentrates, squashes and powder",65.00,1.04,
20,ORTEL COMMUNICATIONS LIMITED,Mauritius,"NSR-PE, Mauritius, LLC",NEW DELHI,Activities of providing internet access by the operator of the wired infrastructure,450.00,7.21,
21,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,Axa India Holdings,MUMBAI,Life insurance,78.33,1.25,
22,INDUS RENEWABLE ENERGY INDIA PRIVATE LIM,Mauritius,Indus Power and Infrastructure ( Mauriti,HYDERABAD,Electric power generation by hydroelectric power plants,21.64,0.35,
23,"INDUS RENEWABLE
ENERGY INDIA PRIVATE LIM",Mauritius,Indus Power & Infrastructure(Mauritius),HYDERABAD,Electric power generation by hydroelectric power plants,13.24,0.21,
24,KSK ENERGY COMPANY PVT. LTD.,Mauritius,KSK Energy Limited,HYDERABAD,Activities of holding companies,108.68,1.74,
25,TIKONA DIGITAL NETWORKS PVT LTD,Mauritius,Oak India Investments Limited,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,156.20,2.50,
26,TIKONA DIGITAL NETWORKS PVT LTD,Mauritius,GS Investment Partners (Mauritius) IV Li,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,8.37,0.13,
27,TIKONA DIGITAL NETWORKS PVT LTD,Mauritius,Green Lotus Limited,MUMBAI,"Activities of Internet access by the operator of the wireless
infrastructure",90.11,1.44,
28,TIKONA DIGITAL NETWORKS PVT LTD,Mauritius,GS investment Partners (Mauritius) I Lim,MUMBAI,Activities of Internet access by the operator of the wireless infrastructure,257.68,4.13,
29,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,78.33,1.25,
30,ICICI BANK LTD.,Singapore,SANJAY JAIN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.77,0.01,
31,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.60,0.01,
32,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.74,0.03,
33,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.52,0.02,
34,AXIS BANK LIMITED,UAE,AKHILESH KUMAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.06,0.00,
35,NABEEL PERFUMES,UAE,ASGHAR ADAM ALI,MUMBAI,Manufacture of other perfumes,2.30,0.04,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PVT LTD,,,,and toilet preparations n.e.c.,,,
36,ABBOTT HEALTHCARE PVT LTD,United Kingdom,Abbott Asia Holdings Limited,MUMBAI,Manufacture of allopathic pharmaceutical preparations,"9,083.53",145.45,
37,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",13.73,0.22,
38,ICICI BANK LTD.,United Kingdom,RAJIV ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.10,0.05,
39,ICICI BANK LTD.,United Kingdom,RAJIV ARORA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.35,0.02,
40,ICICI BANK LTD.,United Kingdom,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.84,0.01,
41,ICICI BANK LTD.,United Kingdom,AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.42,0.01,
42,ICICI BANK LTD.,United Kingdom,DHARAM SINGLA,AHMEDABAD,"Monetary intermediation of commercial banks, saving
banks. postal savings bank and discount houses",0.50,0.01,
43,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",1.83,0.03,
