Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JULY 2016 TO SEPTEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,OMECO TECHNOLOGIES PVT LTD,Australia,O MULLANE INVESTMENTS PTY LTD,HYDERABAD,Human resources provision and management of human resources functions,0.10,0.00,
2,INDO GOLD RESOURCES PVT LTD,Australia,INDO GOLD LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",0.29,0.00,
3,P D FRESH PVT. LTD.,Australia,PREMIUM DAIRY INDIA PTY LTD,CHANDIGARH,"Manufacture of cream, butter, cheese, curd, ghee, khoya etc.",1.50,0.02,
4,SPAN THOUGHTWORKS PRIVATE LIMITED,Australia,RANA HOLDINGS PTY.LTD,CHENNAI,Educational support services,11.00,0.16,
5,BENGAL EXPLORATION INDIA PVT LTD,Australia,BENGAL MINERALS PTY LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",0.10,0.00,
6,GRT INDIA PVT LTD (PEARLS GRT PVT LTD),Australia,"Wharton James Holdings Pty Ltd.,",MUMBAI,Manufacture of polymer/ synthetic / PVC water storage tanks,12.02,0.18,
7,GRT INDIA PVT LTD (PEARLS GRT PVT LTD),Australia,Wharton James Holdings Pty Ltd.,MUMBAI,Manufacture of polymer/ synthetic / PVC water storage tanks,13.20,0.20,
8,GLOBAL WOOL ALLIANCE PVT LTD,Australia,Investment GWA PTY Ltd,MUMBAI,"Preparation and spinning of wool, including other animal hair and blended* wool including other animal",40.14,0.60,
9,EDA AUSTRALIA INDIA PVT LTD,Australia,EXIBITION DISPLAYS AUSTRALIA PTY LTD,MUMBAI,Advertising,0.00,0.00,
10,RECALL INDIA INFORMATION MGMT.PVT LTD,Australia,RECALL INTERNATIONAL PTY LTD,MUMBAI,"Other professional, scientific and technical activities n.e.c.",318.28,4.74,
11,PNP BUSINESS SYSTEMS PVT. LTD.,Australia,TOCHTRON PTY LTD.,AHMEDABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.09,0.00,
12,OMECO TECHNOLOGIES PVT LTD,Australia,O MULLANE INVESTMENTS PTY LTD,HYDERABAD,Human resources provision and management of human resources functions,0.04,0.00,
