Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER TO DECEMBER, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Australia,Akshay Sethi,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
2,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Brazil,GURUMOORTHY L N,BANGALORE,Other credit granting,0.45,0.01,
3,MCCAIN FOODS INDIA PVT LTD,Canada,McCain foods limited,NEW DELHI,"Other semi-processed, processed or instant foods n.e.c. except farinaceous products and malted foods",724.16,10.87,
4,ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF EN INDIA,NEW DELHI,Electric power generation using solar energy,63.85,0.96,
5,VINCI ENERGIES INDIA PVT LTD,France,VINCI ENERGIES,NEW DELHI,Wholesale of other electronic equipments and parts thereof,42.08,0.63,
6,VINCI ENERGIES INDIA PVT LTD,France,VINCI ENERGIES INTERNATIONAL,NEW DELHI,Wholesale of other electronic equipments and parts thereof,0.42,0.01,
7,SHANTHA BIOTECNICS LIMITED,France,"SANOFI PASTEUR MERIEUX
Sas",HYDERABAD,Manufacture of other pharmaceutical and botanical products n.e.c. like hina powder etc.,"1,994.71",29.95,
8,ACME SOLAR ENERGY PRIVATE LIMITED,France,EDF EN INDIA,NEW DELHI,Electric power generation using solar energy,104.00,1.56,
9,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",406.07,6.14,
10,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",296.30,4.48,
11,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",258.52,3.91,
12,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",216.42,3.27,
13,GIBA HOLDINGS PVT. LTD.,France,SOCIETE BEAUJON,BANGALORE,"Other financial service activities, except insurance and pension funding activities, n.e.c.",71.53,1.08,
14,CHAITANYA RURAL INTERMEDIATION DEVELOPME,France,ASHOK SOM,BANGALORE,Other credit granting,0.41,0.01,
15,BHARTI AXA GENERAL INSURANCE COMPANY LTD,France,SOCIETE BEAUJON,BANGALORE,Non-life insurance,187.85,2.89,
16,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ROBERT BOSCH AUTOMOTIVE STEERING GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",148.00,2.27,
17,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ROBERT BOSCH AUTOMOTIVE STEERING PRIVATE,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",148.00,2.27,
18,SUDEEP PHARMA PVT LTD,Germany,RETTENMAIER ASIA HOLDING GMBH,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",99.97,1.51,
19,A.MENARINI INDIA PRIVATE LIMITED,Germany,BERLIN CHEMIE ARZNEIMITTEL GMBH,AHMEDABAD,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles",0.00,0.00,
20,A.MENARINI INDIA PRIVATE LIMITED,Germany,BERLIN CHEMIE/MENARINI PHARMA GMBH,AHMEDABAD,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles",0.00,0.00,
21,A.MENARINI INDIA PRIVATE LIMITED,Germany,BERLIN CHEMIE AG,AHMEDABAD,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles",8.40,0.13,
22,A.MENARINI INDIA PRIVATE LIMITED,Germany,A.MENARINI PARTICIPATIONS INTERNATIONALE,AHMEDABAD,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles",0.26,0.00,
23,A.MENARINI INDIA PRIVATE LIMITED,Germany,BERLIN CHEMIE PHARMACEUTICALS GMBH,AHMEDABAD,"Retail sale of pharmaceuticals, medical and orthopaedic goods and toilet articles",0.00,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
24,INNISFREE COSMETICS INDIA PVT LTD,HongKong,AMOREPACIFIC GLOBAL OPERATIONS LTD,NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",56.00,0.84,
25,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Indonesia,PRAVEEN SINGHAVI,BANGALORE,Other credit granting,0.59,0.01,
26,FLUOROCARBONS INDIA PVT LTD,Italy,Guarniflon SPA,MUMBAI,Manufacture of other plastics products n.e.c.,75.72,1.14,
27,INTEGRATED DATABASE INDIA LTD.,Japan,"M/s Nikkei Business Publications Inc, Ja",NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",70.00,1.08,
28,SUNWAYS ROHTO PHARMACEUTICAL PVT LTD (ER,Japan,ROHTO PHARMACEUTICAL COMPANY LTD,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,153.33,2.36,
29,ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN INDIA,NEW DELHI,Electric power generation using solar energy,96.00,1.44,
30,ACME SOLAR ENERGY PRIVATE LIMITED,Luxembourg,EREN INDIA,NEW DELHI,Electric power generation using solar energy,58.95,0.89,
31,AIRASIA (INDIA) PVT LTD,Malaysia,Airasia Investment Limited,MUMBAI,Passenger airways,496.53,7.51,
32,FIRST AMERICAN SECURITIES PVT LTD,Mauritius,Axa india Holdings,MUMBAI,Life insurance,178.22,2.70,
33,BHARTI AXA LIFE INSURANCE CO LTD,Mauritius,AXA INDIA HOLDINGS,MUMBAI,Life insurance,122.78,1.86,
34,ARINNA LIFESCIENCES PVT LTD,Mauritius,INDIA BUSINESS EXCELLENCE FUND- II A,AHMEDABAD,Wholesale of pharmaceutical and medical goods,125.00,1.89,
35,VYOME BIOSCIENCES PVT LTD,Mauritius,"KALAARI CAPITAL PARTNERS II, LLC",NEW DELHI,Research and experimental development on natural sciences and engineering,45.63,0.69,
36,AKUMENTIS HEALTHCARE LIMITED,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENT IV,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,"1,000.00",15.12,
37,AKORN INDIA PVT LTD,Mauritius,WORLDAKORN PHARMA MAURITIUS,NEW DELHI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",650.00,9.83,
38,M/S ZENARA PHARMA PVT LTD,Mauritius,Camzena Holdings Ltd,HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",69.41,1.07,
39,M/S ZENARA PHARMA PVT LTD,Mauritius,Camzena Holdings Ltd,HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",41.31,0.63,
40,GOLDMAN SACHS ASSET MANAGEMENT INDIA PVT,Mauritius,GSAM India Holdings Ltd.,MUMBAI,Management of mutual funds,195.36,3.00,
41,MAIL TODAY NEWSPAPERS PVT. LTD.,Mauritius,AN (MAURITIUS) LTD,NEW DELHI,Printing of newspapers,6.89,0.11,
42,GETIT INFOSERVICES PVT LTD,Mauritius,ASTRO ENTERTAINMENT NETWORKS LTD,NEW DELHI,Operation of web sites that use a search engine to generate and maintain extensive databases of internet,"1,647.83",25.33,
43,JAI PHARMA LTD,Mauritius,ORIZABA LTD.,MUMBAI,Manufacture of allopathic pharmaceutical preparations,2.99,0.04,
44,FIELD FRESH FOODS PVT. LTD.,Mauritius,DMPL INDIA LTD,NEW DELHI,Growing of other cereals,55.00,0.83,
45,TOWER VISION INDIA PVT LTD,Mauritius,TOWER VISION MAURITIUS LTD,NEW DELHI,"Activities of maintaining and operating pageing, cellur and other tetecommunication networks",501.50,7.71,
46,DAMIANI INDIA PVT LTD,Netherlands,DAMIANI INTERNATIONAL BV,NEW DELHI,Retail sale of watches and clocks,25.71,0.39,
47,GLOBAL ONE (INDIA) PVT LTD,Netherlands,EGN B.V.,NEW DELHI,Other telecommunications activities,5.00,0.08,
48,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA PRO HOLDING B.V.,NEW DELHI,Retail sale of household furniture,3.32,0.05,
49,IKEA INDIA PRIVATE LIMITED,Netherlands,INGKA HOLDING OVERSEAS B.V.,NEW DELHI,Retail sale of household furniture,"3,316.68",50.98,
50,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Panama,HARINDER KAUR,BANGALORE,Other credit granting,2.14,0.03,
51,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Romania,Sanjeev Mahna,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.01,0.00,
52,DONALDSON INDIA FILTER,Singapore,Donaldson Filtration(Asia,NEW DELHI,"Manufacture of engines and turbines,",72.93,1.10,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,SYSTEMS PVT LTD,,Pacific) Ptc,,"except aircraft, vehicle and cycle engines",,,
53,MAKESENSE TECHNOLOGIES LIMITED,Singapore,MACRITCHIE INVESTMENTS PTE LTD,NEW DELHI,Activities of holding companies,"1,341.65",20.15,
54,INDUS CLEAN ENERGY (INDIA) PVT LTD,Singapore,ASIAN GENCO PTE LTD,NEW DELHI,Other business support service activities n.e.c.,6.87,0.10,
55,DONALDSON INDIA FILTER SYSTEMS PVT LTD,Singapore,Donaldson Filtration(Asia Pacific)Ptc.,NEW DELHI,"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines",21.78,0.33,
56,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,ASHOK HEGDE,BANGALORE,Other credit granting,1.78,0.03,
57,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,SANDEEP SOHANLAL DAGA,BANGALORE,Other credit granting,1.42,0.02,
58,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,GYANA RANJAN DAS,BANGALORE,Other credit granting,0.53,0.01,
59,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,DEEPAK KAUL,BANGALORE,Other credit granting,2.23,0.03,
60,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,JHANWER PRAKASH,BANGALORE,Other credit granting,1.19,0.02,
61,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,PARTHEEBAN VIBIN CHRISTIN THEODORE,BANGALORE,Other credit granting,0.99,0.01,
62,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,ARUN KUMAR SHARMA,BANGALORE,Other credit granting,0.89,0.01,
63,CHAITANYA RURAL INTERMEDIATION DEVELOPME,Singapore,MANISH DHAWAN,BANGALORE,Other credit granting,0.89,0.01,
