Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY 2016 TO SEPTEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,SUN PHARMA ADVANCED RESEARCH CO. LTD.,Afghanistan,AS PER LIST - 52 Allottes.,AHMEDABAD,Research and experimental development on natural sciences and engineering,122.75,1.84,
2,CELIO FUTURE FASHION LTD,France,Celio International S.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",241.25,3.59,
3,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET SAS,MUMBAI,"Wholesale of metal, porcelain and glass utensils; crockery and chinaware",11.00,0.16,
4,ABG CONTAINER HANDLING PVT LTD,France,Bollore Africa Logistics,MUMBAI,Service activities incidental to water transportation,486.40,7.29,
5,FRESENIUS KABI INDIA LTD.,Germany,FRESENIUS KABI AG,MUMBAI,Manufacture of allopathic pharmaceutical preparations,350.00,5.24,
6,V&B LIFE STYLE INDIA PVT LTD,Germany,VILLEROY & BOCH AG,NEW DELHI,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery",10.00,0.15,
7,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLSCHAFT MIT BESCHRAENKTER HAF,NEW DELHI,Publishing of journals and periodicals,46.74,0.70,
8,NIVEA INDIA PVT LTD,Germany,"PHANEX HANDELSGESELLSCHAFT
MbH",MUMBAI,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",12.77,0.19,
9,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLSCHAFT MIT BESCHRAENEKTER HA,NEW DELHI,Publishing of journals and periodicals,34.43,0.51,
10,NIVEA INDIA PVT LTD,Germany,BEIERSDORF AG & PHANEX HANDELS GESELLSCH,MUMBAI,"Manufacture of cosmetics and toileteries (includes manufacture of preshave, shaving or after shave preparations;",397.85,5.96,
11,WACOAL INDIA PVT LTD,HongKong,WACOAL INTERNATIONAL HONG KONG CO LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",5.10,0.08,
12,AXIS BANK LIMITED,HongKong,T NENDUMARAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.32,0.00,
13,AXIS BANK LIMITED,HongKong,T NENDUMARAN,AHMEDABAD,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",1.30,0.02,
14,AXIS BANK LIMITED,HongKong,T NENDUMARAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and
discount houses",0.59,0.01,
15,THALES INDIA PVT LTD (EAR: THALES INTERN,HongKong,THALES HONGKONG LIMITED,NEW DELHI,Architectural and engineering activities and related technical consultancy,0.05,0.00,
16,M/S INNISFREE COSMETICS INDIA PVT LTD,HongKong,AMOREPACIFIC GLOBAL OPERATIONS LTD.,NEW DELHI,Retail sale of perfumery and cosmetic articles,11.00,0.16,
17,AXIS BANK LIMITED,HongKong,SACHIL DAGUR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.09,0.02,
18,AXIS BANK LIMITED,HongKong,SACHIL DAGUR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.35,0.02,
19,RICHTER THEMIS MEDICARE (I) PVT. LTD.,Hungary,GEDEON RICHTER LTD,MUMBAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.05,0.00,
20,RICHTER THEMIS MEDICARE (I) PVT. LTD.,Hungary,GEDEON RICHTER LTD,MUMBAI,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals:
antibiotics, endocrine",71.35,1.07,
21,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,51.00,0.76,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
22,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA S.P.A,MUMBAI,Retail sale of articles of fur and artificial fur,25.50,0.38,
23,CASA DECOR PVT LTD,Italy,Poltrona Frau SPA,MUMBAI,Retail sale of household furniture,30.00,0.45,
24,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,294.27,4.40,
25,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,20.40,0.30,
26,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,20.40,0.30,
27,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,15.30,0.23,
28,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,46.95,0.70,
29,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,51.00,0.76,
30,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,35.70,0.53,
31,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,25.50,0.38,
32,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,25.50,0.38,
33,ZEGNA SOUTH ASIA PVT LTD,Italy,ERMENEGILDO ZEGNA HOLDITALIA SPA,MUMBAI,Retail sale of articles of fur and artificial fur,15.30,0.23,
34,ZEGNA SOUTH ASIA PVT LTD,Italy,Ermenegildo Zegna Holditalia SPA,MUMBAI,Retail sale of articles of fur and artificial fur,25.50,0.38,
35,DIESEL FASHION INDIA RELIANCE PVT. LTD.,Italy,DIESEL SPA,AHMEDABAD,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",35.70,0.53,
36,STAR CJ NETWORK INDIA P LTD,South Korea,CJ O SHOPPING CO LTD,MUMBAI,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry,",178.67,2.68,
37,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembourg,GLOBAL ENERGY EFFICIENCY AND RENEWABLE E,NEW DELHI,Activities of holding companies,27.12,0.41,
38,AIRASIA (INDIA) PVT LTD,Malaysia,Air Asia Investment Limited,MUMBAI,Passenger airways,245.00,3.67,
39,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Malaysia,As per List,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.00,0.00,
40,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Mauritius,As Per list,AHMEDABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine",0.03,0.00,
41,STAR ENTERTAINMENT MEDIA PVT. LTD.,Mauritius,STAR ISP LTD,MUMBAI,Production of television programmes or television commercials,153.80,2.29,
