Table No.19 (c),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JANUARY 2017 TO MARCH, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,INDO GOLD RESOURCES PVT LTD,Australia,INDO GOLD LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",0.48,0.01,
2,SPROUTLOGIX PVT LTD,Australia,DAVID ANDREW CLEARWATER AND DEBORAH ANNE,MUMBAI,Providing software support and maintenance to the clients,1.94,0.03,
3,GETONCLOUD TECHNOLOGIES PVT. LTD.,Australia,GETONCLOUD PTY LTD.,AHMEDABAD,Other information technology and computer service activities n.e.c,0.10,0.00,
4,QR SOLUTIONS INDIA PRIVATE LIMITED,Australia,MURTHY VAIDHEESWARAN,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client
excluding web-page",0.05,0.00,
5,AUTO INGRESS INDIA PRIVATE LIMITED,Australia,AUTO INGRESS PTY LIMITED,CHENNAI,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer
articles",0.06,0.00,
6,M/S ECOTECH INDUSTRIES PRIVATE LIMITED,Australia,ECOTECH ENVIROMENT PTY LTD,BHOPAL,Manufacture of other measuring n.e.c.,37.31,0.55,
7,M/S ECOTECH INDUSTRIES PRIVATE LIMITED,Australia,ECOTECH ENVIROMENT PTY LTD,BHOPAL,Manufacture of other measuring n.e.c.,18.50,0.27,
8,M/S ECOTECH INDUSTRIES PRIVATE LIMITED,Australia,ECOTECH ENVIROMENT PTY LTD,BHOPAL,Manufacture of other measuring n.e.c.,9.29,0.14,
9,AUTO INGRESS INDIA PRIVATE LIMITED,Australia,SURESH PANNER SELVAM,CHENNAI,"Manufacture of doors, windows and their frames, shutters and rolling shutters, gates and similer articles",0.36,0.01,
