Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING OCTOBER 2016 TO DECEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,M/S DELSEY INDIA PVT. LTD,France,DELSEY S.A.,NEW DELHI,Other non-specialised wholesale trade n.e.c.,10.20,0.15,
2,DECATHLON SPORTS INDIA PVT LTD,France,DECATHLON SA,BANGALORE,Retail sale of sporting equipment in specialized stores,"1,088.23",16.09,
3,"ROBERT BOSCH
AUTOMOTIVE STEERING PVT LTD",Germany,ROBERT BOSCH AUTOMOTIVE STEERING GMBH,MUMBAI,"Manufacture of diverse parts and accessories
for motor vehecles sucs as brakes, gearboxes, axles, road",88.80,1.31,
4,"ROBERT BOSCH AUTOMOTIVE STEERING
PVT LTD",Germany,ROBERT BOSCH AUTOMOTIVE STEERING GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes,
axles, road",111.00,1.64,
5,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ZF LENKSYSTEME GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",429.20,6.35,
6,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ZF LENKSYSTEME GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",66.60,0.98,
7,ROBERT BOSCH AUTOMOTIVE STEERING PVT LTD,Germany,ZF LENKSYSTEME GMBH,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",22.20,0.33,
8,"ROBERT BOSCH
AUTOMOTIVE STEERING PVT LTD",Germany,ZF LENKSYSTEME GMBH,MUMBAI,"Manufacture of diverse parts and accessories
for motor vehecles sucs as brakes, gearboxes, axles, road",509.86,7.54,
9,"ROBERT BOSCH
AUTOMOTIVE STEERING PVT LTD",Germany,ZF LENKSYSTEME GMBH,MUMBAI,"Manufacture of diverse parts and accessories
for motor vehecles sucs as brakes, gearboxes, axles, road",509.86,7.54,
