Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING OCTOBER 2016 TO DECEMBER, 2016",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,"PANCON KNITS PVT., LTD.,",Australia,FOOTWEAR SOLE AND DESIGN PTY LTD,CHENNAI,Manufacture of knitted and crocheted cotton fabrics,0.54,0.01,
2,PLANIT TESTING INDIA PVT LTD,Australia,planit Holdings Australia Pty Ltd,HYDERABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.00,0.00,
3,PLANIT TESTING INDIA PVT LTD,Australia,Planit Test Management Solutions Pty Ltd,HYDERABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",165.00,2.47,
4,SBI GENERAL INSURANCE CO LTD,Australia,IAG INTERNATIONAL PTY LTD,MUMBAI,Non-life insurance,585.00,8.76,
5,GEO ROAD TECHNOLOGY MANUFACTURING PVT LT,Australia,Wharton James Holdings PTY Ltd.,MUMBAI,Manufacture of polymer/ synthetic / PVC water storage tanks,6.29,0.09,
6,GEO ROAD TECHNOLOGY MANUFACTURING PVT LT,Australia,Laoria PTY Ltd.,MUMBAI,Manufacture of polymer/ synthetic / PVC water storage tanks,0.62,0.01,
7,REDCARPET TECH PRIVATE LIMITED,Australia,SHIN RYOKU PTY LTD,NEW DELHI,Other information technology and computer service activities n.e.c,0.08,0.00,
8,AHOY SYSTEM PRIVATE LIMITED,Australia,ABHINAV SINGHAL,NEW DELHI,Other information technology and computer service activities n.e.c,0.45,0.01,
9,HAPPIEST MINDS TECHNOLOGIES PRIVATE LIMI,Australia,DINESH RAMACHANDRAN,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",1.34,0.02,
10,DBC ENGINEERING INDIA PVT LTD,Australia,Malcolm Patrick Jacobs,CHENNAI,Manufacture of other lifting and handling equipment and parts thereof,1.90,0.03,
