Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JULY 2017 TO SEPTEMBER 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ZENSAR TECHNOLOGIES LTD,Australia,Mr.Raj J. Kurup,MUMBAI,Providing software support and maintenance to the clients,0.11,0.00,
2,ZENSAR TECHNOLOGIES LTD,Australia,Mr. Raj J. Kurup,MUMBAI,Providing software support and maintenance to the clients,0.05,0.00,
3,AUSTRALIAN ORTHOPAEDIC INDIA PVT LTD,Australia,Cara Herald,MUMBAI,"Wholesale of scientific, medical
and surgical machinery and equipment",2.14,0.03,
4,INFRASCALE INDIA PRIVATE LIMITED,Australia,Kenneth John Shaw,CHENNAI,Providing software support and maintenance to the clients,0.05,0.00,
5,INFRASCALE INDIA PRIVATE LIMITED,Australia,Kenneth Andrew Edmund Shaw,CHENNAI,Providing software support and maintenance to the clients,0.05,0.00,
6,ADDA BIM INDIA PRIVATE LIMITED,Australia,AUSREO HOLDINGS PTY LIMITED,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.00,0.00,
7,ADDA BIM INDIA PRIVATE LIMITED,Australia,ADVANCED DETAILING AND DESIGN APPLICATIO,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.10,0.00,
8,STRANG SYSTEMS INDIA PVT LTD.,Australia,STRANG SYSTEMS PTY LTD,KOLKATA,Other retail sale in non-specialized stores,3.77,0.06,
9,KUMOLUS INDIA PVT LTD,Australia,JOSHUA MICHAEL MCGRATH,MUMBAI,Other information technology and computer service activities n.e.c,0.10,0.00,
10,MAHINDRA AND MAHINDRA LTD,Australia,MR.MAHESH KASKAR,MUMBAI,Manufacture of passenger cars,0.00,0.00,
