Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY 2017 TO SEPTEMBER, 2017",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,MOSDORFER INDIA PVT LTD,Austria,MOSDORFER GMBH,MUMBAI,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,7.40,0.12,
2,MOSDORFER INDIA PVT LTD,Austria,MOSDORFER GMBH,MUMBAI,Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or,7.40,0.12,
3,TRACTEBEL ENGINEERING PVT LTD,Belgium,Tractebel Engineering SA,NEW DELHI,"Architectural and engineering
activities and related technical consultancy",32.12,0.50,
4,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Canada,AS PER LIST,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.02,0.00,
5,AXIS BANK LIMITED,China,RAJ KUMAR KHOSA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.74,0.03,
6,DECATHLON SPORTS INDIA PVT LTD,France,DECATHLON SA,BANGALORE,Retail sale of sporting equipment in specialized stores,"2,050.00",31.80,
7,CELIO FUTURE FASHION LTD,France,Celio International S.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",300.00,4.65,
8,AXIS BANK LIMITED,HongKong,T. NEDUMARAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.10,0.02,
9,ICICI BANK LTD.,HongKong,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",0.33,0.01,
10,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Ireland,KRISHAN LAL,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.59,0.01,
11,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Ireland,KRISHAN LAL,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.41,0.01,
12,NETMAGIC SOLUTIONS PVT LTD,Japan,NTT Communications Corporation,MUMBAI,Other telecommunications activities,"6,266.64",97.25,
13,RYOHIN-KEIKAKU RELIANCE INDIA PVT LTD,Japan,RYOHIN KEIKAKU CO LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",30.60,0.47,
14,VODAFONE INDIA LTD,Mauritius,VODAFONE TELECOMMUNICATIONS(INDIA)LIMITE,MUMBAI,Activities of other wireless telecommunications activities,"8,484.84",132.64,
15,VODAFONE INDIA LTD,Mauritius,TRANSCRYSTAL LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"7,630.09",119.28,
16,VODAFONE INDIA LTD,Mauritius,PRIME METALS LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"11,416.46",178.47,
17,VODAFONE INDIA LTD,Mauritius,MOBILVEST,MUMBAI,Activities of other wireless telecommunications activities,"8,751.19",136.80,
18,VODAFONE INDIA LTD,Mauritius,AL -AMIN INVESTMENTS LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"4,242.42",66.32,
19,VODAFONE INDIA LTD,Mauritius,ASIAN TELECOMMUNICATION INVESTMENTS( MAU,MUMBAI,Activities of other wireless telecommunications activities,"5,120.08",80.04,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
20,VODAFONE INDIA LTD,Mauritius,EURO PACIFIC SECURITIES LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"20,829.85",325.63,
21,VODAFONE INDIA LTD,Mauritius,MOBILVEST,MUMBAI,Activities of other wireless telecommunications activities,"39,198.48",612.78,
22,VODAFONE INDIA LTD,Mauritius,PRIME METALS LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"51,136.82",799.41,
23,VODAFONE INDIA LTD,Mauritius,TRANSCRYSTAL LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"34,176.84",534.28,
24,VODAFONE INDIA LTD,Mauritius,AL -AMIN INVESTMENTS LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"19,002.71",297.06,
25,VODAFONE INDIA LTD,Mauritius,ASIAN TELECOMMUNICATION INVESTMENTS( MAU,MUMBAI,Activities of other wireless telecommunications activities,"22,933.98",358.52,
26,VODAFONE INDIA LTD,Mauritius,CCII (MAURITIUS)INC,MUMBAI,Activities of other wireless telecommunications activities,"10,438.81",163.19,
27,VODAFONE INDIA LTD,Mauritius,EURO PACIFIC SECURITIES LIMITED,MUMBAI,Activities of other wireless telecommunications activities,"93,301.48","1,458.56",
28,VODAFONE INDIA LTD,Mauritius,VODAFONE TELECOMMUNICATIONS(INDIA)LIMITE,MUMBAI,Activities of other wireless telecommunications activities,"38,005.45",594.13,
29,VODAFONE INDIA LTD,Mauritius,CCII (MAURITIUS)INC,MUMBAI,Activities of other wireless telecommunications activities,"2,330.50",36.43,
30,ZOOROPA FOODS PVT LTD,Mauritius,SAIF PARTNERS INDIA IV LTD,NEW DELHI,Activities of holding companies,3.21,0.05,
31,RECIPHARM HOLDING INDIA PVT LTD,Netherlands,RECIPHARM B.V,CHANDIGARH,Activities of holding companies,"4,974.30",77.17,
32,VERO MODA RETAIL PVT LTD,Singapore,Bestseller United Singapore Pte. Ltd,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",338.47,5.25,
33,ICICI BANK LTD.,Singapore,RAKHEE GUPTA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.76,0.01,
34,ICICI BANK LTD.,Singapore,RAKHEE GUPTA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.76,0.01,
35,BARQUE HOTELS PVT LTD,Singapore,AAPC SINGAPORE PTE. LTD. SINGAPORE,NEW DELHI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",20.00,0.31,
36,BARQUE HOTELS PVT LTD,Singapore,AAPC SINGAPORE PTE. LTD. SINGAPORE,NEW DELHI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",162.80,2.55,
37,VERO MODA RETAIL PVT LTD,Singapore,Bestseller United Singapore Pte Ltd,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of
clothing and clothing accessories",18.83,0.29,
38,VERO MODA RETAIL PVT LTD,Singapore,Bestseller United singapore Pte Ltd,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",315.00,4.89,
39,SPA LIFESTYLE PRIVATE LIMITED,Spain,Lladro Commercial SA,NEW DELHI,"Other retail sale of new goods in specialized stores n.e.c (weapons and ammunition, non food product",13.00,0.20,
40,AXIS BANK LIMITED,Sri Lanka,MANOJ KUMAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",0.43,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
41,SWATCH GROUP (INDIA) RETAIL PRIVATE LIMI,Switzerland,TECHNOCORP HOLDINGS S.A.,NEW DELHI,Retail sale of watches and clocks,30.00,0.47,
42,AXIS BANK LIMITED,UAE,RAMESH VENKATESAN,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",0.65,0.01,
43,AXIS BANK LIMITED,United Kingdom,MARTIN SAY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",3.47,0.05,
44,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",11.60,0.18,
45,ICICI BANK LTD.,United Kingdom,KIRAN TALWAR,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",1.42,0.02,
46,ICICI BANK LTD.,United Kingdom,Ms. AARTI SHARMA,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",0.50,0.01,
47,ICICI BANK LTD.,United Kingdom,SUDHIR DOLE,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount
houses",14.51,0.23,
48,AIRIS PHARMA PVT LTD,U.S.A,KISHORE KUMAR GANJI,HYDERABAD,Research and experimental development on natural sciences and engineering,6.00,0.09,
49,AIRIS PHARMA PVT LTD,U.S.A,KISHORE KUMAR GANJI,HYDERABAD,Research and experimental development on natural sciences and engineering,6.00,0.09,
50,AIRIS PHARMA PVT LTD,U.S.A,KISHORE KUMAR GANJI,HYDERABAD,Research and experimental development on natural sciences and engineering,3.00,0.05,
51,BROOKS BROTHERS INDIA PVT LTD,U.S.A,BBDI LLC,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",7.65,0.12,
52,SUN PHARMACEUTICAL INDUSTRIES LIMITED,U.S.A,Daniel Thomas Martins,AHMEDABAD,Manufacture of allopathic pharmaceutical preparations,0.89,0.01,
53,IAPMO PLUMBING CODES & STANDARDS INDIA P,U.S.A,INTERNATIONAL ASSOCIATION OF PLUMBING AN,BANGALORE,Technical testing and analysis,2.00,0.03,
Grand Total,,,,,,"391,633.59","6,120.62",
