Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED UNDER FIPB/SIA (OTHER THAN ACQUISITION OF EXISTING SHARES) ROUTE DURING JULY 2018 TO SEPTEMBER, 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,LE CREUSET INDIA TRADING P LTD,France,LE CREUSET SAS,MUMBAI,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery",25.08,0.37,
2,M/S DELSEY INDIA PVT. LTD,France,DELSEY S.A,NEW DELHI,Retail sale of leather goods and travel accessories of leather and leather substitutes,34.17,0.50,
3,HUBERT BURDA MEDIA INDIA PVT LTD,Germany,BURDA GESELLASHAFT MIT BESCHRAENKTER HAU,NEW DELHI,Publishing of journals and periodicals,23.44,0.34,
4,SAET INDIA PVT LTD,Italy,SAET APA,MUMBAI,Manufacture of other electrical equipment,4.40,0.06,
5,DIESEL FASHION INDIA RELIANCE PVT. LTD.,Italy,DIESEL S.P.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",15.30,0.21,
6,DIESEL FASHION INDIA RELIANCE PVT. LTD.,Italy,DIESEL S.P.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",51.00,0.71,
7,RYOHIN-KEIKAKU RELIANCE INDIA PVT LTD,Japan,RYOHIN KEIKAKU CO LTD,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",34.68,0.50,
8,SAVINO DEL BENE FREIGHT FORWARDERS (INDI,Luxembourg,SDB FINANZIARIA S.A.,MUMBAI,Cargo handling incidental to water transport,4.65,0.07,
9,SAVINO DEL BENE FREIGHT FORWARDERS (INDI,Luxembourg,SDB FINANZIARIA S A,MUMBAI,Cargo handling incidental to water transport,13.24,0.19,
10,"AMAZON RETAIL INDIA PRIVATE
LIMITED",Mauritius,AMAZON.COM.INCS LIMITED,NEW DELHI,"Retail sale of cereals and pulses, tea, coffee, spices and
flour",10.00,0.14,
11,UNIQUEST INFRA VENTURES PVT,Mauritius,GHIR INVESTMENTS (MAURITIUS) LTD,NEW DELHI,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",21.64,0.32,
