Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE
DURING JULY 2018 TO SEPTEMBER 2018",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,ALS TESTING SERVICES INDIA PRIVATE LIMIT,Australia,AUSTRALIAN LABORATORY SERVICES PTY LTD,BANGALORE,Technical testing and analysis,1.00,0.01,
2,INDIAN ROAD SURVEY AND MANAGEMENT PRIVAT,Australia,ARRB Gourp Limited,CHENNAI,"Other professional, scientific and technical activities
n.e.c.",6.94,0.10,
3,APPEARITION INDIA P LTD,Australia,APPEARITION PTY LTD,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web- page",0.74,0.01,
4,TVS LOGISTICS SERVICES LTD,Australia,sukhow pty ltd,CHENNAI,Motorised road freight transport,15.20,0.22,
5,APPEARITION INDIA P LTD,Australia,Appearition Pty Ltd,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web- page",0.49,0.01,
6,APPEARITION INDIA P LTD,Australia,appearition pty ltd,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web- page",0.41,0.01,
7,ALS TESTING SERVICES INDIA PRIVATE LIMIT,Australia,AUSTRALIAN LABORATORY SERVICES PTY LTD,BANGALORE,Technical testing and analysis,43.55,0.63,
8,ALS TESTING SERVICES INDIA PRIVATE LIMIT,Australia,ECOWISE AUSTRALIA PTY LTD,BANGALORE,Technical testing and analysis,0.00,0.00,
9,KAS SERVICES INDIA PRIVATE LIMITED,Australia,KMART AUSTRALIA LIMITED,BANGALORE,"Other information technology and computer service
activities n.e.c",40.00,0.58,
10,KAS SERVICES INDIA PRIVATE LIMITED,Australia,KAS GLOBAL HOLDINGS PTY LTD,BANGALORE,"Other information technology and computer service
activities n.e.c",0.00,0.00,
11,ALS TESTING SERVICES INDIA PRIVATE LIMIT,Australia,ECOWISE AUSTRALIA PTY LIMITED,BANGALORE,Technical testing and analysis,0.00,0.00,
12,SAASFORCE CONSULTING PVT. LTD.,Australia,AMIT CHOUDHARY,NEW DELHI,Other information technology and computer service activities n.e.c,0.42,0.01,
13,CRESCITA AGRO FARM SUPPLY PVT LTD,Australia,Lara Lambrucchi,MUMBAI,Wholesale of fruits & vegetables,1.75,0.02,
14,Venturenext Franchising Services Private,Australia,Raine and Horne PTY Limited,BANGALORE,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",7.53,0.10,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
15,STARIR & SERVICES PVT. LTD.,Australia,MICHAEL HESS,NEW DELHI,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles",0.80,0.01,
16,3D TALENT SERVICES PRIVATE LIMITED,Australia,Mathew Pitman,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web- page",3.18,0.05,
17,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,STAYWELL HOSPITALITY MANAGEMENT PTE LTD,NEW DELHI,Management consultancy activities,1.23,0.02,
18,STAYWELL HOSPITALITY MANAGEMENT PVT LTD,Australia,STAYWELL HOSPITALITY MANAGEMENT PTE LTD,NEW DELHI,Management consultancy activities,1.47,0.02,
19,SAASFORCE CONSULTING PVT. LTD.,Australia,AMIT CHOUDHARY,NEW DELHI,"Other information technology and computer service
activities n.e.c",0.36,0.01,
20,Thiess India Private Limited,Australia,THIESS PTY LTD,KOLKATA,Opencast mining of hard coal,23.76,0.33,
21,U R ENERGY (INDIA) PVT LTD,Australia,DHARMA PTY LTD AS TRUSTEES FOR SHIV SUPE,AHMEDABAD,"Wholesale of other electronic equipments and parts
thereof",1.74,0.02,
22,CHL BUILDING DESIGN SERVICES PVT LTD,Australia,COMMUNITY HOUSING LIMITED,AHMEDABAD,"Architectural and engineering activities and related technical
consultancy",0.10,0.00,
23,INAC BRASS PVT. LTD.,Australia,DAMS AUSTRALIA PTY LTD,AHMEDABAD,"Manufacture of other
fabricated metal products n.e.c.",5.00,0.07,
24,POLLINATE ENERGY INDIA PVT LTD,Australia,POLLINATE ENERGY LIMITED,BANGALORE,"Wholesale of other households goods,
n.e.c. [Includes wholesale of household equipment and appliances,",3.76,0.05,
25,DATARATI PRIVATE LIMITED,Australia,WILLIAM SCULLY POWER,BANGALORE,"Other data processing, hosting and related activities n.e.c.",0.01,0.00,
26,INDO GOLD RESOURCES PVT LTD,Australia,INDO GOLD LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",0.40,0.01,
27,ZEEBS SOFTWARE PVT. LTD.,Australia,ANTHONY ZIEBELL,NEW DELHI,Providing software support and maintenance to the clients,0.10,0.00,
28,STARIR & SERVICES PVT. LTD.,Australia,LANCE R HESS,NEW DELHI,"Wholesale of transport equipment except motor vehicles, motorcycles and bicycles",0.80,0.01,
29,BWX BRANDS INDIA PVT LTD,Australia,BWX BRANDS PTY LTD,NEW DELHI,"Wholesale of toiletry, perfumery and cosmetics",1.25,0.02,
30,FRANGIPANI HOSPITALITY PRIVATE LIMITED,Australia,CHEN CHRISTOPHER,KOLKATA,"Hotels and Motels, inns, resorts providing
short term lodging",6.79,0.09,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,facilities includes accommodation in house,,,
31,TECH MAHINDRA LTD (MAHINDRA BRITISH TELE,Australia,BIJU KUMAR M V,MUMBAI,Computer consultancy and computer facilities management activities,0.08,0.00,
32,IG BERRIES PVT LTD,Australia,BABIOLAKIS MANOUSSOS DIOGENIS,MUMBAI,Wholesale of fruits & vegetables,0.10,0.00,
33,PAYMATE INDIA PVT LTD,Australia,IPO WEALTH HOLDINGS PTY LTD,MUMBAI,Other information technology and computer service activities n.e.c,99.45,1.38,
34,ECA GLOBAL EDUCATION INDIA PVT LTD,Australia,EDUCATION CENTRE OF AUSTRALIA PTY LTD,AHMEDABAD,"Higher education in other professional/ vocational courses leading to a degree or
equivalent",4.02,0.06,
35,AUSTRALIAN ENERGY STORAGE SOLUTIONS PVT,Australia,ACCESS PETROTEC PTY LTD,AHMEDABAD,"Manufacture of primary cells and primary batteries nd rechargable batteries, cells containing manganese",1.11,0.02,
36,DATARATI PRIVATE LIMITED,Australia,DATARATI PTY LIMITED,BANGALORE,"Other data processing, hosting and related activities n.e.c.",0.99,0.01,
37,BLACKHAWK NETWORK (INDIA) PVT LTD,Australia,BLACKHAWK NETWORK (AUSTRALIA) PTY LTD,MUMBAI,Retail sale via e- commerce,0.00,0.00,
38,WOOLWORTHS INDIA PRIVATE LIMITED,Australia,WOOLSWORTHS (INTERNATIONAL) PTY LTD,MUMBAI,Management consultancy activities,4.39,0.06,
39,WOOLWORTHS INDIA PRIVATE LIMITED,Australia,WOOLWORTHS (INTERNATIONAL) PTY LTD,MUMBAI,Management consultancy activities,0.20,0.00,
40,TESTBOOK EDU SOLUTIONS PVT LTD,Australia,PANKAJ RATHI,MUMBAI,Educational support services,0.02,0.00,
41,TESTBOOK EDU SOLUTIONS PVT LTD,Australia,PANKAJ RATHI,MUMBAI,Educational support services,0.48,0.01,
42,WHIZ KIDZ MEDIA PVT LTD,Australia,JAFA ENTERPRISES AUST PTY LTD,NEW DELHI,"Pre-primary education (education preceding the first
level)",1.69,0.02,
43,U R ENERGY (INDIA) PVT LTD,Australia,DHYAN HOLDING PTY LTD,AHMEDABAD,"Wholesale of other electronic equipments and parts
thereof",1.50,0.02,
44,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES,BANGALORE,"Mining of precious metal ore (gold, silver)",9.39,0.14,
45,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES LTD,BANGALORE,"Mining of precious metal ore (gold, silver)",2.99,0.04,
46,GEOMYSORE SERVICES (INDIA) PVT LTD,Australia,AUSTRALIAN INDIAN RESOURCES LTD,BANGALORE,"Mining of precious
metal ore (gold, silver)",3.30,0.05,
47,CHROMAFLO TECHNOLOGIES INDIA PVT LTD,Australia,Chromaflo Technologies Australia Pty Ltd,MUMBAI,"Manufacture of prepared pigments, prepared opacifiers
and prepared colours,",16.91,0.25,
