Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING JULY 2019 TO SEPTEMBER 2019",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,Puma Sports India Private Limited,Austria,Austria Puma Dassles GMBH,BANGALORE,Retail sale of sporting equipment in specialized stores,0.00,0.00,
2,ICICI BANK LIMITED,Bahrain,Vinod Sharma,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.22,0.00,
3,Axis Bank Limited,Bangladesh,SUMIT GOSWAMI,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.50,0.01,
4,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",6.13,0.09,
5,IVANHOE CAMBRIDGE INDIA SERVICES PRIVATE,Canada,IVANHOE INDIA EQUITIES INC.,MUMBAI,Management consultancy activities,137.81,1.94,
6,ICICI BANK LIMITED,Canada,Hari Krishna Pandey,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.08,0.03,
7,ICICI BANK LIMITED,China,Phani Kiran,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.63,0.01,
8,ICICI BANK LIMITED,China,Phani Kiran,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.63,0.01,
9,ICICI BANK LIMITED,China,Phani Kiran,AHMEDABAD,"Monetary intermediation of commercial
banks, saving banks. postal savings bank and discount houses",2.97,0.04,
10,MJIC Consultancy Private Limited,Denmark,Maj Invest Holding A/S,MUMBAI,"Other professional, scientific and technical activities n.e.c.",119.00,1.67,
11,LE CREUSET INDIA TRADING PRIVATE LIMITED,France,LE CREUSET SAS,MUMBAI,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery",5.00,0.07,
12,LE CREUSET INDIA TRADING PRIVATE LIMITED,France,LE CREUSET SAS,MUMBAI,"Retail sale of household utensils and cutlery, crockery, glassware, china and pottery",15.00,0.22,
13,MAHLE Holding India Private Limited,Germany,"MAHLE
Industrieligungen GmbH",MUMBAI,Activities of head offices,0.03,0.00,
14,MAHLE Holding India Private Limited,Germany,MAHLE GmbH,MUMBAI,Activities of head offices,299.97,4.21,
15,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Germany,ThomasLloyd Cleantech Infrastructure Hol,NEW DELHI,Activities of holding companies,65.81,0.92,
16,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Germany,ThomasLloyd Cleantech Infrastructure Hol,NEW DELHI,Activities of holding companies,0.14,0.00,
17,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Germany,ThomasLloyd Cleantech Infrastructure Hol,NEW DELHI,Activities of holding companies,202.89,2.84,
18,ICICI BANK LIMITED,HongKong,Hitesh Sethia,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",3.98,0.06,
19,WACOAL INDIA PRIVATE LIMITED,HongKong,Wacoal International Hong Kong Company L,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",76.50,1.11,
20,Zegna South Asia Private Limited,Italy,Ermenegildo Zegna Holditalia S.p.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",28.05,0.39,
21,RELIANCE PAUL & SHARK FASHIONS PVT LTD,Italy,DAMA S.P.A.,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories",10.50,0.15,
22,RELIANCE PAUL &,Italy,DAMA S.P.A.,MUMBAI,"Retail sale of readymade garments, hosiery",5.00,0.07,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,SHARK FASHIONS PVT LTD,,,,"goods, other articles of clothing and clothing accessories",,,
23,Ryohin Keikaku Reliance India Private Li,Japan,Ryohin-Keikaku Co Ltd,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",20.40,0.29,
24,TS TECH SUN RAJASTHAN PVT LTD,Japan,TS TECH CO LTD,NEW DELHI,"Manufacture of parts and accessories of bodies for motor vehicles such as safety belts, airbags, doors,",60.00,0.87,
25,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembourg,ThomasLloyd Cleantech Infrastructure Fun,NEW DELHI,Activities of holding companies,7.63,0.11,
26,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembourg,ThomasLloyd Cleantech Infrastructure Fun,NEW DELHI,Activities of holding companies,23.52,0.33,
27,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembourg,ThomasLloyd Cleantech Infrastructure Fun,NEW DELHI,Activities of holding companies,0.02,0.00,
28,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,FIH Mauritius Investments Ltd,MUMBAI,Activities of holding companies,1.40,0.02,
29,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,Sayad Aly Sakil Essoo,MUMBAI,Activities of holding companies,0.00,0.00,
30,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,Junaid Sailand Balladin,MUMBAI,Activities of holding companies,0.00,0.00,
31,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,FIH Mauritius Investments Ltd,MUMBAI,Activities of holding companies,0.10,0.00,
32,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,Noorjahan Swaleyha Begum Rummun,MUMBAI,Activities of holding companies,0.00,0.00,
33,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,Marie Crystale Natacha Cannoo,MUMBAI,Activities of holding companies,0.00,0.00,
34,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,Dheeksha Devi Gukhool,MUMBAI,Activities of holding companies,0.00,0.00,
35,ANCHORAGE INFRASTRUCTURE INVESTMENTS HOL,Mauritius,Denis Claude Gervais Panchoo,MUMBAI,Activities of holding companies,0.00,0.00,
36,Akorn India Private Limited,Mauritius,WORLDAKORN PHARMA MAURITIUS,NEW DELHI,Manufacture of allopathic pharmaceutical preparations,88.50,1.24,
37,THE CATHOLIC SYRIAN BANK LIMITED,Mauritius,FIH Mauritius Investments Ltd.,KOCHI,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses","2,776.50",40.35,
38,TEP ROOFTOP SOLAR INDIA PRIVATE LIMITED,Mauritius,TEP Solar India Mauritius,HYDERABAD,Electric power generation using solar energy,48.20,0.70,
