Table No. 19 (c),,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING JANUARY 2019 TO MARCH 2019",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,GETWELL HEALTHCARE PRIVATE LIMITED,Afghanistan,ABDUL MASHUQ QADIRI S/O ABDUL JALIL,NEW DELHI,Hospital activities,7.20,0.10,
2,"BOUSTAN-E-SABZ INDIA PRIVATE
LIMITED",Afghanistan,Boustan-E-Sabz Afghanistan Limited,JAIPUR,Wholesale of fruits & vegetables,3.06,0.04,
3,"GETWELL
HEALTHCARE PRIVATE LIMITED",Afghanistan,ELTIAM DIAGNOSTIC CLINIC,NEW DELHI,Hospital activities,5.41,0.08,
4,HEALTHCAREERS INSTITUTE PRIVATE LIMITED,Australia,HCI HOLDINGS PTY LTD,KOCHI,Other educational services n.e.c.,13.84,0.20,
5,CHL BUILDING DESIGN SERVICES PRIVATE LIM,Australia,COMMUNITY HOUSING LIMITED,AHMEDABAD,Architectural and engineering activities and related technical consultancy,36.49,0.52,
6,"AEDIANTUM EDUCATION CONSULTING PRIVATE
L",Australia,RAJENDRA SINGH,BANGALORE,Other educational services n.e.c.,0.03,0.00,
7,AEDIANTUM EDUCATION CONSULTING PRIVATE L,Australia,RAJENDRA SINGH,BANGALORE,Other educational services n.e.c.,0.12,0.00,
8,TECH MAHINDRA LIMITED,Australia,Jeffrey Ferdinands,MUMBAI,Computer consultancy and computer facilities management activities,0.02,0.00,
9,Jacon Technologies Private Limited,Australia,EL RUTTEN PTY LTD,HYDERABAD,"Repair and maintenance of mining, construction, and oil and gas field machinery; metallurgy machinery",0.05,0.00,
10,Jacon Technologies Private Limited,Australia,MJ RUTTEN CO PTY LTD,HYDERABAD,"Repair and maintenance of mining, construction, and oil and gas field machinery; metallurgy machinery",0.05,0.00,
11,MACK VALVES INDIA PRIVATE LIMITED,Australia,MACK VALVES PTY LTD,MUMBAI,"Manufacture of other pumps, compressors, taps and valves etc.",3.08,0.04,
12,Cyient Limited,Australia,Shiva Kondreddi,HYDERABAD,Other information technology and computer service activities n.e.c,0.00,0.00,
13,Indo Gold Resources Private Limited,Australia,INDO GOLD LIMITED,NEW DELHI,"Mining of precious metal ore (gold, silver)",0.48,0.01,
14,Cyient Limited,Australia,Srihari Koya,HYDERABAD,Other information technology and computer service activities n.e.c,0.00,0.00,
15,Cyient Limited,Australia,Shaik Faheem,HYDERABAD,Other information technology and computer service activities n.e.c,0.00,0.00,
16,Cyient Limited,Australia,Hari Gade,HYDERABAD,Other information technology and computer service activities n.e.c,0.00,0.00,
17,Cyient Limited,Australia,Praveen Navath,HYDERABAD,Other information technology and computer service activities n.e.c,0.00,0.00,
