Table No.19 (a),,,,,,,,
"STATEMENT ON REMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER APPROVAL ROUTE
RECEIVED DURING APRIL 2019 TO JUNE 2019",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank
and discount houses",1.44,0.02,
2,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",2.89,0.04,
3,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.44,0.02,
4,Axis Bank Limited,Canada,Sanjeev Kumar Gupta,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank
and discount houses",1.53,0.02,
5,ICICI BANK LIMITED,China,Phani Kiran,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.84,0.01,
6,ICICI BANK LIMITED,China,Phani Kiran,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",1.23,0.02,
7,"SOLARARISE INDIA
PROJECTS PRIVATE LIMITE",Germany,"ThomasLloyd
Cleantech Infrastructure Hol",NEW DELHI,Activities of holding companies,0.10,0.00,
8,"SOLARARISE INDIA PROJECTS PRIVATE
LIMITE",Germany,"ThomasLloyd Cleantech
Infrastructure Hol",NEW DELHI,Activities of holding companies,146.58,2.11,
9,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Germany,ThomasLloyd Cleantech Infrastructure Hol,NEW DELHI,Activities of holding companies,47.55,0.68,
10,AUNDE FAZE THREE AUTOFAB LTD.,Germany,AUNDE ACHTER & EBELS GMBH,MUMBAI,"Manufacture of machinery for washing, bleaching, dyeing, dressing, finishing coating or impregnating",45.91,0.66,
11,HUBERT BURDA MEDIA INDIA PRIVATE LIMITED,Germany,BURDA GESELLSCHAFT MIT BESCHRAENKTER HAF,NEW DELHI,Publishing of journals and periodicals,54.77,0.78,
12,ICICI BANK LIMITED,HongKon g,BHYJU KANAMKANDY,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank
and discount houses",0.71,0.01,
13,Axis Bank Limited,HongKon,Rachit Bhatia,AHMEDABAD,Monetary intermediation of,0.61,0.01,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,g,,,"commercial banks, saving banks. postal savings bank and discount houses",,,
14,Axis Bank Limited,HongKon g,Rachit Bhatia,AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",0.56,0.01,
15,Axis Bank Limited,HongKon g,Rachit Bhatia,AHMEDABAD,"Monetary intermediation of commercial banks, saving
banks. postal savings bank and discount houses",0.56,0.01,
16,Diesel Fashion India Reliance Private Li,Italy,Diesel S.p.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as gloves, ties, braces etc.",51.00,0.73,
17,Reliance Paul & Shark Fashions Private L,Italy,DAMA S.p.A,MUMBAI,"Retail sale of readymade garments, hosiery goods, other articles of clothing and clothing accessories such as
gloves, ties, braces etc.",12.50,0.18,
18,NEWSRISE FINANCIAL RESEARCH & INFORMATIO,Japan,Nikkei Inc.,MUMBAI,News agency activities,39.74,0.57,
19,DAIICHI SANKYO INDIA PHARMA PVT. LTD,Japan,DAIICHI SANKYO COMPANY LIMITED,NEW DELHI,Research and experimental development on natural sciences and engineering,"1,520.00",21.78,
20,RAVAGO HOLDING INDIA PRIVATE LIMITED,Luxembo urg,Ravago Distribution S.A.,CHENNAI,Activities of holding companies,0.00,0.00,
21,RAVAGO HOLDING INDIA PRIVATE LIMITED,Luxembo urg,Ravago S.A.,CHENNAI,Activities of holding companies,1.00,0.01,
22,SOLARARISE INDIA PROJECTS PRIVATE LIMITE,Luxembo urg,ThomasLloyd Cleantech Infrastructure Fun,NEW DELHI,Activities of holding companies,13.65,0.20,
23,"SOLARARISE INDIA
PROJECTS PRIVATE LIMITE",Luxembo urg,"ThomasLloyd
Cleantech Infrastructure Fun",NEW DELHI,Activities of holding companies,42.09,0.61,
24,"SOLARARISE INDIA PROJECTS PRIVATE
LIMITE",Luxembo urg,"ThomasLloyd Cleantech
Infrastructure Fun",NEW DELHI,Activities of holding companies,0.03,0.00,
25,Axis Bank Limited,Luxembo urg,CAPITAL GROUP NEW WORLD FUND (LUX),AHMEDABAD,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses",59.54,0.86,
26,AirAsia (India) Limited,Malaysia,AirAsia Investment Limited,BANGALORE,Passenger airways,"2,450.00",35.11,
27,Axis Bank Limited,Mauritiu,BC ASIA INVESTMENT,AHMEDABAD,Monetary intermediation of,"22,600.00",325.47,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,s,III LIMITED,,"commercial banks, saving banks. postal savings bank and discount houses",,,
28,Vodafone Idea Limited,Mauritiu s,Asian Telecommunications Investments (Ma,AHMEDABAD,"Activities of maintaining and operating paging, cellular and other telecommunication networks","8,530.09",122.84,
