Table No.19 (b),,,,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JULY 2020 TO SEPTEMBER 2020
(Amount in millions)",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
1,ACME Bhiwadi Solar Power Private Limited,HARYANA,Gurgaon,"Electric power
generation using solar energy",ACTIS GREENGEN LIMITED,Mauritius,420.00,5.60,Received in the Company,
2,ACME Hisar Solar Power Private Limited,HARYANA,Gurgaon,Electric power generation using solar energy,ACTIS GREENGEN LIMITED,Mauritius,410.01,5.47,Received in the Company,
3,ACME Jaipur Solar Power Private Limited,HARYANA,Gurgaon,"Electric power generation using solar
energy",ACTIS GREENGEN LIMITED,Mauritius,137.96,1.85,Received in the Company,
4,ACME Karnal Solar Power Private Limited,HARYANA,Gurgaon,"Electric power
generation using solar energy",ACTIS GREENGEN LIMITED,Mauritius,430.00,5.73,Received in the Company,
5,ACUTUS ANALYTICS PRIVATE LIMITED,TELANGANA,Hyderabad,"Data processing activities including
report writing","KARYA PROPERTY MANAGEMENT, LLC",U.S.A,0.01,0.00,Received in the Company,
6,ACUTUS ANALYTICS PRIVATE LIMITED,TELANGANA,Hyderabad,"Data processing activities including
report writing","KARYA PROPERTY MANAGEMENT, LLC",U.S.A,0.50,0.01,Received in the Company,
7,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling incidental to water
transport",Flourishing Trade and Investment Ltd.,Mauritius,250.00,3.35,Received in the Company,
8,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Ltd.,Mauritius,277.25,3.70,Received in the Company,
9,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling incidental to water
transport",Flourishing Trade and Investment Ltd.,Mauritius,377.79,5.04,Received in the Company,
10,Adani Ports and Special,GUJARAT,Ahmedabad,Cargo handling,Flourishing Trade and,Mauritius,290.14,3.87,Received in,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,Economic Zone Limited,,,"incidental to water
transport",Investment Ltd.,,,,the Company,
11,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling incidental to water
transport",Flourishing Trade and Investment Ltd.,Mauritius,220.89,2.95,Received in the Company,
12,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling
incidental to water transport",Flourishing Trade and Investment Ltd.,Mauritius,322.13,4.30,Received in the Company,
13,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling
incidental to water transport",Flourishing Trade and Investment Ltd.,Mauritius,254.89,3.40,Received in the Company,
14,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling incidental to water
transport",Flourishing Trade and Investment Ltd.,Mauritius,37.91,0.51,Received in the Company,
15,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling
incidental to water transport",Flourishing Trade and Investment Ltd.,Mauritius,2940.32,39.21,Received in the Company,
16,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling
incidental to water transport",Flourishing Trade and Investment Ltd.,Mauritius,342.14,4.56,Received in the Company,
17,"AEQUS FORCE CONSUMER PRODUCTS
PRIVATE LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investments II Private Limited,Mauritius,37.50,0.51,Received in the company,
18,"AEQUS FORCE CONSUMER PRODUCTS
PRIVATE LIMITED",KARNATAKA,Belagavi,Manufacture of other games and toys n.e.c.,AIGF Investments II Private Limited,Mauritius,37.50,0.50,Received in the Company,
19,AGILEPOINT SOFTWARE INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-
page designing",AGILEPOINT INC,U.S.A,0.77,0.01,Received in the Company,
20,"AGILEPOINT SOFTWARE
INDIA PRIVATE LIMITED",KARNATAKA,Bengaluru,"Writing, modifying,
testing of computer",AGILEPOINT INC,U.S.A,0.77,0.01,"Received in
the Company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,"Name of Foreign
Collaborator",Country,Amount,,Inv Type,
,,,,,,,In Rs,In US$,,
,,,,"program to meet the needs of a particular client excluding web-
page designing",,,,,,
21,"AI PHARMED CONSULTANCY INDIA
PRIVATE LIMITED",TELANGANA,Hyderabad,Management consultancy activities,Jusmiral Holdings Limited,Cyprus,0.00,0.00,Received in the Company,
22,"AI PHARMED CONSULTANCY INDIA
PRIVATE LIMITED",TELANGANA,Hyderabad,Management consultancy activities,Jusmiral Holdings Limited,Cyprus,0.01,0.00,Received in the Company,
23,AIBRIDGE ML PRIVATE LIMITED,TELANGANA,Hyderabad,Other information technology and computer service activities n.e.c,EUGENE C PADEN,U.S.A,0.10,0.00,Received in the Company,
24,AIRMEET NETWORKS PRIVATE LIMITED,KARNATAKA,Bengaluru,"Providing software support and maintenance to the
clients",AIRMEET INC,U.S.A,0.51,0.01,Received in the Company,
25,AIRMEET NETWORKS PRIVATE LIMITED,KARNATAKA,Bengaluru,Providing software support and maintenance to the clients,AIRMEET INC,U.S.A,1.00,0.01,Received in the company,
26,ALLIANCE CHC (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Wholesale of
pharmaceutical and medical goods",Alliance Pharmaceuticals Limited,United Kingdom,0.09,0.00,Received in the Company,
27,ALLIANCE CHC (INDIA) PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Wholesale of pharmaceutical and
medical goods",ALLIANCE PHARMA PLC,United Kingdom,0.01,0.00,Received in the Company,
28,ALLIANZ MARINE INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Renting and operational leasing of water- transport equipment
without operator",ALLIANZ MARINE AND LOGISTICS SERVICES HOLDING LTD,UAE,0.39,0.01,Received in the company,
