"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JANUARY 2021 TO MARCH 2021",,,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In Rs Crore),Amount (In US$ Million),Inv Type,
1,1 MG Technology Private limited,State Not Indicated,District Not Indicated,Other information service activities n.e.c.,1 MG Khosla Ventures,U.S.A,0.31,0.04,-,
2,2 DEGREES CLICON PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Materials recovery,IDEATION3X PRIVATE LIMITED,Singapore,0.04,0.01,"Received in
the Company",
3,2 DEGREES CLICON PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Materials recovery,IDEATION3X PRIVATE LIMITED,Singapore,0.01,0.00,Received in the Company,
4,3TANDAI INDIA PRIVATE LIMITED,KARNATAKA,Bengaluru,Other human health activities n.e.c. (including independent ambulance activities),FOOD RX AND AI INC,U.S.A,0.00,0.00,Received in the Company,
5,56 AI TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,Other information technology and computer service activities n.e.c,Troels Birnbaum Licht,United Kingdom,0.00,0.00,Received in the Company,
6,"ABHINAV
OUTSOURCINGS PRIVATE LIMITED",DELHI,South Delhi,Management consultancy activities,Mr Harit Kumar Kapahi,Canada,0.01,0.00,"Received in
the Company",
7,ACADPAL PRIVATE LIMITED,MAHARASHTRA,Pune,Other information technology and computer service activities n.e.c,Acadpal Incorporation,U.S.A,0.01,0.00,Received in the Company,
8,"ACCELALPHA
SOFTWARE PRIVATE LIMITED",TELANGANA,Hyderabad,"Other information
technology and computer service activities n.e.c",ACCELALPHA INDIA HOLDINGS LLC,U.S.A,0.06,0.01,"Received in
the Company",
9,ACCION LABS SOLUTIONS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Writing, modifying, testing of computer program to meet the needs of a",ACCIONLABS HOLDINGS INC,U.S.A,0.01,0.00,Received in the Company,
