"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING OCTOBER 2021 TO DECEMBER 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
1,,Sembcorp Green Infra Limited,,HARYANA,,Gurgaon,,Management consultancy activities,,Sembcorp Utilities Pte. Ltd.,,Singapore,,"52,32,12,00,000.0000",,694168297.456,,Received in the company,
2,,Astral Steritech Private Limited,,GUJARAT,,Vadodara,,Manufacture of allopathic pharmaceutical preparations,,Centrient Pharmaceuticals International B. V.,,Netherland,,"9,80,82,27,264.0000",,130924220.6065,,Received in the company,
3,,Terracis Technologies Limited,,MAHARASHTRA,,Mumbai,,Computer consultancy and computer facilities management activities,,"Falcon SG Holding (Philippines), Inc.",,Philippines,,"3,78,25,40,740.0000",,50774744.3168,,Received in the Company,
4,,Lister Technologies Private Limited,,TAMIL NADU,,Chennai,,Providing software support and maintenance to the clients,,BOUNTEOUS INC.,,U.S.A,,"3,73,27,84,467.4900",,50106843.5093,,Received in the Company,
5,,IDEAL CURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,COLORCON NETHERLANDS B.V.,,Netherland,,"3,32,85,67,002.0000",,44431070.8493,,Received in the company,
6,,CALIBRE CHEMICALS PVT LTD,,MAHARASHTRA,,Mumbai,,MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL COMPOUNDS N.E.C.,,EVERCHEM ASIA PTE. LTD.,,Singapore,,"3,06,18,68,785.1500",,40871074.2018,,Received in the company,
7,,ACME FORMULATION PRIVATE LIMITED,,HIMACHAL PRADESH,,Solan,,Manufacture of allopathic pharmaceutical preparations,,PAGAC Ariane Pte Ltd,,Singapore,,"3,00,68,02,864.0000",,40361666.1722,,Received in the Company,
8,,Integrace Private Limited,,KARNATAKA,,Bengaluru,,Wholesale of pharmaceutical and medical goods,,V- Sciences Investments Pte. Ltd,,Singapore,,"2,40,00,00,000.0000",,32036179.5254,,Received in the company,
9,,ATC TELECOM INFRASTRUCTURE PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,Other telecommunications activities,,ATC Asia Pacific Pte Ltd,,Singapore,,"2,15,31,03,050.0000",,28566162.0618,,Received in the company,
10,,CONNELL BROS COMPANY INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Wholesale of industrial chemicals,",,Connell Bros. Holding (Singapore) Pte. Ltd.,,Singapore,,"1,39,15,00,000.0000",,18574309.9207,,Received in the company,
11,,CONNELL BROS COMPANY INDIA PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Wholesale of industrial chemicals,",,Connell Bros. Holding (Singapore) Pte. Ltd.,,Singapore,,"1,39,15,00,000.0000",,18574309.9207,,Received in the company,
12,,TVS Supply Chain Solutions,,TAMIL NADU,,Madurai,,Motorised road freight,,EXOR SPECIAL,,Ireland,,"1,33,46,55,106.9900",,17915675.3269,,Received in,
"Sr.
No.",,Name of Indian Company,,State,,Location (District),,Item/ Activity,,Name of Foreign Collaborator,,Country,,Amount (In INR),,Amount (In USD),,Inv Type,
,,Limited,,,,,,transport,,OPPORTUNITIES MASTER FUND,,,,,,,,the Company,
13,,ROBOSOFT TECHNOLOGIES PRIVATE LIMITED,,KARNATAKA,,Udupi,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,TECHNOPRO HOLDINGS INC,,Japan,,"1,28,53,43,110.6500",,17157284.4352,,Received in the company,
14,,Astral Steritech Private Limited,,GUJARAT,,Vadodara,,Manufacture of allopathic pharmaceutical preparations,,Centrient Pharmaceuticals International B. V.,,Netherland,,"1,21,99,70,920.0000",,16284669.7537,,Received in the company,
15,,Astral Steritech Private Limited,,GUJARAT,,Vadodara,,Manufacture of allopathic pharmaceutical preparations,,Centrient Pharmaceuticals International B. V.,,Netherland,,"1,21,93,05,040.0000",,16275781.3157,,Received in the company,
16,,IDEAL CURES PRIVATE LIMITED,,MAHARASHTRA,,Mumbai,,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,"COLORCON NETHERLANDS B.V.,",,Netherland,,"1,16,49,98,451.0000",,15550874.8013,,Received in the company,
17,,Terracis Technologies Limited,,MAHARASHTRA,,Mumbai,,Computer consultancy and computer facilities management activities,,FALCON SG HOLDING PHILIPPINES INC,,Philippines,,"1,12,74,91,941.3300",,14958929.8661,,Received in the company,
18,,RKSV SECURITIES INDIA PRIVATE LIMITED,,DELHI,,Central Delhi,,Administration of financial markets,,EPOWERX PTE. LTD.,,Singapore,,"1,11,21,01,024.0000",,14928231.8498,,Received in the Company,
19,,Braincapital Labs Private Limited,,TELANGANA,,Hyderabad,,"Writing, modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",,"NOTION LABS, IRELAND LIMITED",,Ireland,,"1,08,79,63,830.0000",,14604227.4469,,Received in the Company,
20,,EMPIRE PACKAGES PRIVATE LIMITED,,CHANDIGARH,,Chandigarh,,Manufacture of corrugated paper board containers,,Oji Holdings Corporation,,Japan,,"88,87,87,488.0000",,11930593.8937,,Received in the Company,
21,,ACME FORMULATION PRIVATE LIMITED,,HIMACHAL PRADESH,,Solan,,Manufacture of allopathic pharmaceutical preparations,,PAGAC Ariane Pte. Ltd.,,Singapore,,"76,27,38,521.0000",,10181345.079,,Received in the company,
