"Table No.19 (b)
STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING APRIL 2022 TO JUNE 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
1,ESCORTS KUBOTA LIMITED,HARYANA,Faridabad,Manufacture of tractors used in agriculture and forestry,Kubota Corporation,Japan,"56,79,11,04,000.0000",727395388.513,Received in the company
2,EUREKA FORBES LIMITED,MAHARASHTRA,Mumbai,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum cleaners,
mixers, grinders etc.",Lunolux Limited,Cyprus,"25,96,52,60,406.4500",335818617.1687,Received in the Company
3,SAJJAN INDIA LIMITED,MAHARASHTRA,Mumbai,"MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL
COMPOUNDS N.E.C.",Sona Company Pte. Ltd.,Singapore,"18,92,63,29,417.0000",244781437.7135,Received in the Company
4,SHRIRAM GENERAL INSURANCE COMPANY LIMITED,RAJASTHAN,Jaipur,Non-life insurance,TANGENT ASIA HOLDINGS II PTE. LTD.,Singapore,"17,98,20,00,000.0000",230318182.8661,Received in the company
5,SAJJAN INDIA LIMITED,MAHARASHTRA,Mumbai,"MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL
COMPOUNDS N.E.C.",Sona Company Pte. Ltd.,Singapore,"15,70,66,64,842.0000",203140287.6384,Received in the Company
6,SAJJAN INDIA LIMITED,MAHARASHTRA,Mumbai,"MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL
COMPOUNDS N.E.C.",Sona Company Pte. Ltd.,Singapore,"13,88,76,62,415.0400",177876830.8136,Received in the company
7,PRIONE BUSINESS SERVICES PRIVATE LIMITED,DELHI,South Delhi,"Other information technology and
computer service activities n.e.c",Amazon Asia-Pacific Resources Private Limited,Singapore,"13,32,14,00,000.0000",172290747.5882,Received in the Company
8,SAJJAN INDIA LIMITED,MAHARASHTRA,Mumbai,MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL COMPOUNDS N.E.C.,Sona Company Pte. Ltd.,Singapore,"7,04,99,22,133.0000",91179332.1072,Received in the Company
9,ASK Investment Managers Limited,MAHARASHTRA,Mumbai,Management of other investment funds,BCP TOPCO XII PTE. LTD,Singapore,"6,06,92,62,596.2400",79682787.1652,Received in the company
10,ASK Investment Managers Limited,MAHARASHTRA,Mumbai,Management of other investment funds,BCP TOP CO XII PTE LTD,Singapore,"6,06,13,76,259.2200",79579248.176,Received in the company
11,Bharat Serums and Vaccines Limited,MAHARASHTRA,Mumbai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE
ALKALOIDS;",Miransa Limited,Cyprus,"5,27,43,73,530.8900",68215484.7611,Received in the Company
12,Avra Laboratories Pvt Ltd,TELANGANA,Hyderabad,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES;
SULPHA DRUGS; SERUMS AND",Jusmiral Holdings Limited,Cyprus,"4,56,88,05,049.9200",59090098.4608,Received in the Company
,,,,"PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND
VEGETABLE ALKALOIDS;",,,,,
13,SYNERGISTIC FINANCIAL NETWORKS PRIVATE LIMITED,MAHARASHTRA,Mumbai,Activities auxiliary to financial service activities n.e.c.,Pine Labs Limited,Singapore,"4,33,29,68,448.5300",56039933.7362,Received in the Company
14,Bharat Serums and Vaccines Limited,MAHARASHTRA,Mumbai,"MANUFACTURE OF MEDICINAL SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND VEGETABLE ALKALOIDS;",Miransa Limited,Cyprus,"4,28,04,93,678.8900",55361257.5242,Received in the Company
15,Asset Reconstruction Company India Limited,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",AVENUE INDIA RESURGENCE PTE. LTD,Singapore,"3,61,47,80,400.0000",46299057.568,Received in the company
16,IMPERIAL AUTO INDUSTRIES LTD.,DELHI,South Delhi,Manufacture of other attachments to motor vehicles n.e.c.,Stone Plant Investments B.V.,Netherland,"2,97,89,87,379.0000",39110849.716,Received in the company
17,Jodhpur Pali Expressway Private Limited,MAHARASHTRA,Mumbai,"Construction and maintenance of motorways, streets, roads, other vehicular and
pedestrian ways,",Galaxy Investments II Pte. Ltd.,Singapore,"2,89,86,54,489.0000",37126728.6544,Received in the company
,,,,"highways, bridges, tunnels and subways",,,,,
18,SAJJAN INDIA LIMITED,MAHARASHTRA,Mumbai,"MANUFACTURE OF ORGANIC AND INORGANIC
CHEMICAL COMPOUNDS N.E.C.",Sona Company Pte. Ltd.,Singapore,"2,77,75,32,483.0100",35575366.1627,Received in the company
19,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Limited,Mauritius,"2,48,27,01,550.0000",32595158.9779,Received in the company
20,VIJAYA PRODUCTIONS PRIVATE LIMITED,TAMIL NADU,Chennai,"Activities relating to alteration, addition, repair, maintenance carried out on own- account basis or on a fee or contract basis",BREP Asia II Indian Holding Co IX (NQ) Pte. Ltd,Singapore,"2,50,17,01,143.0000",32355455.1451,Received in the Company
21,Asset Reconstruction Company India Limited,MAHARASHTRA,Mumbai,"Other financial service activities, except insurance and pension funding activities, n.e.c.",Avenue India Resurgence Pte. Ltd,Singapore,"2,49,84,08,000.0000",32312863.6705,Received in the Company
22,SAJJAN INDIA LIMITED,MAHARASHTRA,Mumbai,MANUFACTURE OF ORGANIC AND INORGANIC CHEMICAL COMPOUNDS N.E.C.,Sona Company Pte. Ltd.,Singapore,"2,40,16,21,825.0000",31061091.1506,Received in the Company
23,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,"Cargo handling incidental to water
transport",Flourishing Trade and Investment Limited,Mauritius,"2,31,42,33,900.0000",30383362.7858,"Received in the
company"
24,Future Generali India Life Insurance Company Limited,MAHARASHTRA,Mumbai,Life insurance,General Participations Netherlands N.V.,Netherland,"2,25,00,00,000.0000",29540041.855,Received in the company
25,ALCON ELECTRONICS PRIVATE LIMITED,MAHARASHTRA,Nashik,"Manufacture of electronic capacitors, resistors, chokes, coils, transformers
(electronic) and similar components",Exxelia SAS,France,"2,14,04,41,612.8400",27415338.8277,Received in the company
26,ACCUMAX LAB,GUJARAT,Gandhi Nagar,Manufacture of,Gandaraditya Chola,Mauritius,"2,07,69,21,091.0000",26601751.2866,Received in
,DEVICES PRIVATE LIMITED,,,"laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as scales, balances, incubators etc.",,,,,the company
27,Mahindra CIE Automotive Limited,MAHARASHTRA,Mumbai,"Forging, pressing, stamping and roll- forming of metal; powder metallurgy","Participaciones Internacionales Autometal, DOS S.L.",Spain,"2,05,72,86,581.8900",26350267.3327,Received in the company
28,IMPERIAL AUTO INDUSTRIES LTD.,DELHI,South Delhi,"Manufacture of other attachments
to motor vehicles n.e.c.",Stone Plant Investments B.V.,Netherland,"1,93,72,49,892.0000",25055191.8085,Received in the Company
29,ACCUMAX LAB DEVICES PRIVATE LIMITED,GUJARAT,Gandhi Nagar,"Manufacture of laboratory analytical instruments and miscellaneous laboratory apparatus for measuring and testing such as
scales, balances, incubators etc.",Moringa Investments,Mauritius,"1,92,30,74,920.0000",24631249.0874,Received in the company
30,RKSV SECURITIES INDIA PRIVATE LIMITED,DELHI,Central Delhi,Administration of financial markets,EpowerX Pte. Ltd.,Singapore,"1,63,53,52,532.0000",21150638.0942,Received in the Company
31,ASK Investment Managers Limited,MAHARASHTRA,Mumbai,Management of other investment funds,BCP TOP CO XII PTE LTD,Singapore,"1,38,83,27,654.0300",18227225.3371,Received in the company
32,"Willis Towers Watson India Insurance Brokers
Private Limited",DELHI,New Delhi,"Activities of insurance agents
and brokers",Willis Europe B.V.,United Kingdom,"1,36,60,77,960.0000",17935111.1625,"Received in the
company"
33,"Willis Towers Watson India Insurance Brokers
Private Limited",DELHI,New Delhi,"Activities of insurance agents
and brokers",Willis Europe B.V.,United Kingdom,"1,31,35,36,500.0000",17245299.1947,"Received in the
company"
34,SAJJAN INDIA LIMITED,MAHARASHTRA,Mumbai,"MANUFACTURE OF ORGANIC AND INORGANIC
CHEMICAL",Sona Company Pte. Ltd.,Singapore,"1,24,92,30,708.0000",16156777.26,Received in the Company
,,,,COMPOUNDS N.E.C.,,,,,
35,JAYNIX ENGINEERING PRIVATE LIMITED,MAHARASHTRA,Nashik,"Manufacture of electricity distribution and control apparatus (electrical apparatus for switching or protecting electrical circuits (e.g. switches, fuses, voltage limiters, surge suppressors,
junction",FIH Mauritius Investments Ltd,Mauritius,"1,21,27,63,931.0000",15922265.4586,Received in the company
36,DREAMPLUG TECHNOLOGIES PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Other information technology and
computer service activities n.e.c",Lathe Investment Pte Ltd,Singapore,"1,03,50,81,592.4800",13257597.1248,Received in the company
37,KOGTA FINANCIAL (INDIA )LIMITED,RAJASTHAN,Ajmer,Other credit granting,Javelin,Mauritius,"98,69,79,924.7000",12641498.3196,Received in the company
38,ULUNDURPET EXPRESSWAYS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways, bridges, tunnels and
subways",Galaxy Investments II Pte. Ltd.,Singapore,"92,70,98,675.0000",12171792.7392,Received in the company
39,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Limited,Mauritius,"85,26,87,510.0000",11194855.4376,Received in the company
40,HOWDEN INSURANCE BROKERS INDIA PRIVATE LIMITED,MAHARASHTRA,Mumbai,Activities of insurance agents and brokers,Howden Broking Group Ltd,United Kingdom,"84,53,32,800.0000",10933011.5508,Received in the Company
41,Asian Institute of Gastroentreology Private Limited,TELANGANA,Hyderabad,Hospital activities,Donaubrasem B.V,Netherland,"84,00,00,000.0000",10864040.4142,Received in the Company
42,"Asian Institute of Gastroentreology
Private Limited",TELANGANA,Hyderabad,Hospital activities,Donaubrasem B.V,Netherland,"84,00,00,000.0000",10864040.4142,"Received in the
Company"
43,Asian Institute of,TELANGANA,Hyderabad,Hospital activities,Donaubrasem B.V,Netherland,"84,00,00,000.0000",10864040.4142,Received in
,Gastroentreology Private Limited,,,,,,,,the Company
44,Asian Institute of Gastroentreology Private Limited,TELANGANA,Hyderabad,Hospital activities,Donaubrasem B.V,Netherland,"84,00,00,000.0000",10864040.4142,Received in the Company
45,N A SPORTZ INTERACTIVE PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Operation of other websites that act as portals to the Internet, such as media sites providing periodically updated
content",Marathon Edge Fund I,Mauritius,"76,28,62,198.0000",10015547.226,Received in the company
46,DASHANYA TECH PARKZ PRIVATE LIMITED,Karnataka,Bengaluru,Construction of buildings carried out on own-account basis or on a fee or contract basis,BREP Asia II Indian Holding Co VII (NQ) Pte. Ltd,Singapore,"74,83,36,500.0000",9824840.6807,Received in the company
47,Tapaz Hyderabad Info Parks Private Limited,TELANGANA,K.V.Rangareddy,"Other data processing, hosting and related
activities n.e.c.",Tapaz Info Parks Holdings Pte Ltd,Singapore,"75,92,00,000.0000",9724033.1683,Received in the company
48,Atlantic Lubricants and Specialities Pvt Limited,MAHARASHTRA,Mumbai,"Wholesale of solid, liquid and gaseous fuels and related
products",Motul Asia Pacific Pte. Ltd,Singapore,"73,63,92,116.6400",9668023.9765,Received in the company
49,Adani Ports and Special Economic Zone Limited,GUJARAT,Ahmedabad,Cargo handling incidental to water transport,Flourishing Trade and Investment Limited,Mauritius,"68,96,53,413.9000",8919550.6672,Received in the Company
50,TRUMPF METAMATION PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Publishing of operating business and other applications,Trumpf International Beteiligungs-GmbH,Germany,"61,43,58,212.0000",7945729.1,Received in the Company
51,TRUMPF METAMATION PRIVATE LIMITED,TAMIL NADU,Kanchipuram,Publishing of operating business and other applications,Trumpf International Beteiligungs-GmbH,Germany,"61,43,58,212.0000",7945729.1,Received in the Company
52,Asian Institute of Gastroentreology Private Limited,TELANGANA,Hyderabad,Hospital activities,Donaubrasem B.V,Netherland,"61,48,38,000.0000",7875006.7243,Received in the company
53,Malladi Drugs & Pharmaceuticals,TAMIL NADU,Chennai,MANUFACTURE OF MEDICINAL,Vacca Investments,Mauritius,"60,81,33,556.4800",7865223.2558,Received in the
,Limited,,,"SUBSTANCES USED IN THE MANUFACTURE OF PHARMACEUTICALS: ANTIBIOTICS, ENDOCRINE PRODUCTS, BASIC VITAMINS; OPIUM DERIVATIVES; SULPHA DRUGS; SERUMS AND PLASMAS; SALICYLIC ACID, ITS SALTS AND ESTERS; GLYCOSIDES AND
VEGETABLE ALKALOIDS;",,,,,Company
54,Nreach Online Services Private Limited,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",GIFT MANAGEMENT ASIA PTE. LTD.,Singapore,"59,68,48,110.8700",7835963.6338,Received in the company
55,ES SUN POWER PRIVATE LIMITED,KARNATAKA,Chikkaballapur,Electric power generation using solar energy,O2 Power SG Pte. Ltd.,Singapore,"60,80,94,333.3400",7788632.0691,Brownfield
56,Amagi Media Labs Private Limited,KARNATAKA,Bengaluru,Advertising,Accel Growth VI Holdings (Mauritius) Ltd,Mauritius,"60,49,43,052.6500",7748269.6376,"Received in
the company"
57,MAHINDRA TSUBAKI CONVEYOR SYSTEMS PRIVATE LIMITED,MAHARASHTRA,Mumbai,"Manufacture of other lifting and handling equipment
and parts thereof",TSUBAKIMOTO BULK SYSTEMS CORP,Japan,"58,89,01,757.5000",7542808.5126,Received in the company
58,JUSPAY TECHNOLOGIES PRIVATE LIMITED,KARNATAKA,Bengaluru,"Other information technology and computer service
activities n.e.c",Lenarco Limited,Cyprus,"51,21,26,949.8900",6623533.1915,Received in the Company
59,ZETWERK MANUFACTURING BUSINESSES PRIVATE LIMITED,KARNATAKA,Bengaluru,Manufacture of other fabricated metal products n.e.c.,Greenoaks Capital MS LP - Gotham Light and Power III Series,U.S.A,"49,81,70,953.4400",6540440.3625,Received in the company
60,Asian Institute of Gastroentreology Private Limited,TELANGANA,Hyderabad,Hospital activities,Donaubrasem B.V,Netherland,"50,40,00,000.0000",6455364.4847,Received in the company
61,GURGAON CONSTRUCT,DELHI,West Delhi,Construction of,CPP Investment Board,Canada,"48,26,15,798.0000",6181470.0043,Received in
