Table No.19 (b),Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOW UNDER ACQUISITION OF SHARES ROUTE
RECEIVED DURING JULY 2022 TO SEPTEMBER 2022",,,,,,,,,
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount (In INR),Amount (In USD),Inv Type
1,Zifo Technologies Private Limited,TAMIL NADU,Chennai,Other information technology and computer service activities n.e.c,TA India1 Limited,Mauritius,"16,84,66,72,720.2800",211637363.0716,"Received in the
company"
2,"FUTURE GENERALI INDIA INSURANCE
COMPANY LIMITED",MAHARASHTRA,Mumbai,Non-life insurance,Generali Participations Netherlands N.V.,Netherland,"12,66,07,40,500.9800",159051331.8951,"Received in the
company"
3,ZCL Chemicals Limited,MAHARASHTRA,Mumbai,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",Jusmiral Holdings Limited,Cyprus,"5,45,20,89,276.9600",68532327.0311,Received in the company
4,MOLBIO DIAGNOSTICS PRIVATE LIMITED,DELHI,North West Delhi,Manufacture of other articles n.e.c.,V Sciences Investments Pte. Ltd.,Singapore,"4,98,40,79,336.0440",62121150.9685,"Received in the
company"
5,CitiusTech Healthcare Technology Pvt Ltd,HARYANA,Gurgaon,Other information technology and computer service activities n.e.c,CitiusTech Holdco B.V.,Netherland,"3,84,13,53,115.4340",47878306.2463,"Received in the
company"
6,EUREKA FORBES LIMITED,MAHARASHTRA,Mumbai,"Manufacture of domestic electric appliances such as refrigerators, washing machines, vacuum
cleaners, mixers, grinders etc.",Lunolux Limited,Cyprus,"3,53,75,70,952.8000",44466984.5113,Received in the company
7,HINDUSTAN AEGIS LPG LIMITED,GUJARAT,Valsad,"Storage and warehousing n.e.c.[Includes general merchandise warehouses and warehousing of furniture, automobiles, gas and oil, chemicals, textiles etc. Also included is storage of goods in
foreign trade zones",VOPAK INDIA B.V.,Netherland,"3,29,42,50,079.9900",41384219.4125,Received in the company
8,"FLEXABILITY HR SOLUTIONS PRIVATE
LIMITED",WEST BENGAL,Kolkata,"Human resources provision and management of human resources
functions",Alexander Mann Solutions Limited,United Kingdom,"3,10,69,88,315.0000",39054595.1229,"Received in the
company"
