Company,Country,Unnamed: 0,Rupees,Dollars,Year
AMAZON SELLER SERVICES PVT LTD,Singapore,243502,138323.71,1929,24239
AMAZON SELLER SERVICES PVT LTD,Luxembourg,357378,12003.74,181,8064
AMAZON SELLER SERVICES PVT LTD,Singapore,745095,177850.36,2705,20170
ARCELORMITTAL INDIA PRIVATE LIMITED,Netherlands,20841,191288.93,2633,4040
AXIS BANK LIMITED,Mauritius,355713,159675.0,2453,14127
AXIS BANK LIMITED,United States of America,285113,8902.14,132,12110
BHARTI AIRTEL LIMITED,Mauritius,117166,113972.22,1617,8078
BHARTI AIRTEL LIMITED,Singapore,76455,50000.0,719,4038
FLIPKART INDIA PRIVATE LIMITED,Singapore,479466,133077.96,1937,18163
JIO PLATFORMS LIMITED,Cayman Islands,22948,113670.0,1522,2020
JIO PLATFORMS LIMITED,Saudi Arabia,22946,113670.0,1522,2020
JIO PLATFORMS LIMITED,Singapore,114760,336619.75,4505,10100
JIO PLATFORMS LIMITED,United Arab Emirates,45894,147771.0,1978,4040
JIO PLATFORMS LIMITED,United States of America,68846,445208.73,5961,6060
ONE97 COMMUNICATIONS LIMITED,Australia,19403,333.83,4,2020
ONE97 COMMUNICATIONS LIMITED,British Virginia,3741,234.0,3,2021
ONE97 COMMUNICATIONS LIMITED,Cayman Islands,205062,70523.92,1064,12116
ONE97 COMMUNICATIONS LIMITED,Hong Kong,90722,12971.0,194,2016
ONE97 COMMUNICATIONS LIMITED,Mauritius,30332,1009.08,14,4040
ONE97 COMMUNICATIONS LIMITED,Saudi Arabia,38811,2862.9300000000003,40,4040
ONE97 COMMUNICATIONS LIMITED,Singapore,332283,36216.47,526,12107
ONE97 COMMUNICATIONS LIMITED,Taiwan,75251,3997.67,61,2017
ONE97 COMMUNICATIONS LIMITED,United Kingdom,125031,14015.08,216,4036
ONE97 COMMUNICATIONS LIMITED,United States of America,944100,42571.05,573,68661
ONE97 COMMUNICATIONS LIMITED,Virgin Islands,64844,153.34,2,2018
ONE97 COMMUNICATIONS LIMITED,Singapore,343704,3765.35,56,10085
ORAVEL STAYS PRIVATE LIMITED,Cayman Islands,226259,143518.54,2003,16156
ORAVEL STAYS PRIVATE LIMITED,China,57769,647.27,10,2018
ORAVEL STAYS PRIVATE LIMITED,Mauritius,259894,681.62,10,10091
ORAVEL STAYS PRIVATE LIMITED,United Kingdom,176190,4130.52,61,4032
ORAVEL STAYS PRIVATE LIMITED,United States of America,104465,5485.16,79,4037
ORAVEL STAYS PRIVATE LIMITED,Virgin Islands,29165,7119.32,100,2019
THINK & LEARN PRIVATE LIMITED,Belgium,431201,4375.51,64,14122
THINK & LEARN PRIVATE LIMITED,Canada,87962,9945.65,140,4038
THINK & LEARN PRIVATE LIMITED,Cayman Islands,204190,78669.38,1060,30308
THINK & LEARN PRIVATE LIMITED,France,25638,341.76,4,2019
THINK & LEARN PRIVATE LIMITED,Israel,7673,1083.68,14,2021
THINK & LEARN PRIVATE LIMITED,Luxembourg,1089,607.5799999999999,8,4042
THINK & LEARN PRIVATE LIMITED,Mauritius,1414877,9018.95,117,42365
THINK & LEARN PRIVATE LIMITED,Netherlands,155597,25284.36,350,12120
THINK & LEARN PRIVATE LIMITED,Qatar,31311,3619.76,50,2019
THINK & LEARN PRIVATE LIMITED,Singapore,886083,24954.46,338,44415
THINK & LEARN PRIVATE LIMITED,United Kingdom,7695,4341.59,59,2021
THINK & LEARN PRIVATE LIMITED,United States of America,1097398,53658.12,711,121203
VODAFONE INDIA LTD,Mauritius,286501,110000.0,1579,16152
VODAFONE INDIA LTD,Singapore,71657,33525.45,482,4038
VODAFONE INDIA LTD,Mauritius,3833392,546143.66,8369,112952
