,Country,Dollars
0,Singapore,71971.0
1,Mauritius,60933.0
2,United States of America,25187.0
3,Netherlands,20367.0
4,Japan,16381.0
5,Cayman Islands,9905.0
6,United Kingdom,7434.0
7,United Arab Emirates,6284.0
8,Switzerland,5923.0
9,France,5001.0
10,Germany,4594.0
11,South Korea,3140.0
12,Hong Kong,2993.0
13,Cyprus,2698.0
14,Luxembourg,2049.0
15,Saudi Arabia,1787.0
16,Belgium,1522.0
17,Italy,1393.0
18,Canada,1376.0
19,China,1196.0
20,Spain,1045.0
21,British Virginia,965.0
22,Ireland,833.0
23,Sweden,658.0
24,Bermuda,547.0
25,Virgin Islands(US),509.0
26,Taiwan,462.0
27,Qatar,439.0
28,Thailand,416.0
29,Denmark,382.0
30,Malaysia,312.0
31,Australia,252.0
32,South Africa,237.0
33,Austria,237.0
34,Philippines,192.0
35,Russia,189.0
36,Israel,150.0
37,Mexico,133.0
38,Finland,132.0
39,Oman,132.0
40,Bahrain,128.0
41,Norway,122.0
42,United,106.0
43,Turkey,75.0
44,Poland,68.0
45,Portugal,68.0
46,Sri Lanka,57.0
47,Kuwait,54.0
48,Cambodia,50.0
49,British Isles,46.0
50,Seychelles,34.0
51,Liechtenstein,32.0
52,Czech Republic,23.0
53,Guersney,21.0
54,SAMOA ISLANDS,17.0
55,Country Details Awaited,16.0
56,Indonesia,16.0
57,Isle of Man,16.0
58,MOZAMBIQU E,14.0
59,Guernsey,12.0
60,Channel Islands,9.0
61,NewZealand,9.0
62,Colombia,8.0
63,Samoa,8.0
64,Uganda,8.0
65,Brazil,8.0
66,Slovakia,7.0
67,New Zealand,7.0
68,Hungary,7.0
69,Iceland,7.0
70,Egypt,7.0
71,East Africa,6.0
72,Maldives,6.0
73,Romania,5.0
74,Kenya,5.0
75,Channel,5.0
76,Vietnam,5.0
77,Ukraine,5.0
78,Bulgaria,4.0
79,St. Vincent,3.0
80,Korea(Nort h),3.0
81,SAINT LOUSIA,3.0
82,Peru,3.0
83,Azerbaijan,3.0
84,Malta,3.0
85,Bahamas,3.0
86,Greece,3.0
87,Panama,2.0
88,Afghanistan,2.0
89,Vanuatu,2.0
90,Estonia,2.0
91,Monaco,2.0
92,Morocco,2.0
93,Nigeria,2.0
94,Liechtenste,2.0
95,Gibraltar,2.0
96,British,2.0
97,Luxembour,2.0
98,Tanzania,2.0
99,Mozambique,2.0
100,Chile,2.0
101,Jordan,2.0
102,MARSHALL ISLANDS,2.0
103,Belize,2.0
104,Lebanon,1.0
105,Korea(North),1.0
106,Belarus,1.0
107,Nepal,1.0
108,Kazakhstan,1.0
109,TAJIKISTAN,1.0
110,West Indies,1.0
111,Uruguay,1.0
112,Georgia,1.0
113,Algeria,1.0
114,Tunisia,1.0
115,Trinidad & Tobago,1.0
116,West Africa,1.0
117,Botswana,1.0
118,Slovenia,1.0
