Company,Year,Country,Dollars
JIO PLATFORMS LIMITED,2020,Singapore,4254.27
BOSCH LIMITED,2021,Switzerland,4026.37
VODAFONE INDIA LTD,2017,Mauritius,3999.16
AMBUJA CEMENTS LTD,2017,Mauritius,1660.59
TRIGUNA HOSPITALITY VENTURES (INDIA) PVT,2016,Singapore,1646.34
JIO PLATFORMS LIMITED,2020,Cayman Islands,1522.26
BHARTI AIRTEL LIMITED,2019,Mauritius,1324.25
ORAVEL STAYS PRIVATE LIMITED,2020,Cayman Islands,1199.6399999999999
VEDANTA LIMITED,2021,Mauritius,1181.1
AXIS BANK LIMITED,2018,Mauritius,906.9
DLF CYBER CITY DEVELOPERS LIMITED,2018,Singapore,882.6
VIOM NETWORKS LIMITED,2016,Singapore,881.0799999999999
ONE 97 COMMUNICATIONS LIMITED,2018,Cayman Islands,804.84
HOUSING DEVELOPMENT FINANCE CORPORATION,2018,Singapore,792.24
ACCENTURE SOLUTIONS PRIVATE LIMITED,2017,Mauritius,787.46
FLIPKART INDIA PRIVATE LIMITED,2018,Singapore,687.85
EMPOWER RESEARCH KNOWLEDGE SERVICES PVT,2016,Singapore,663.6
SCHNEIDER ELECTRIC INDIA PRIVATE LIMITED,2020,Singapore,637.17
TELENOR(INDIA) COMUNICATIONS PVT LTD(TEL,2018,Singapore,607.05
FORTIS HEALTHCARE LIMITED,2019,Singapore,565.52
BHARTI AIRTEL LIMITED,2019,Singapore,556.56
M/S THERMAL  POWERTECH CORPORATION INDIA,2018,Singapore,540.79
PGP GLASS PRIVATE LIMITED,2021,Singapore,525.47
ADANI INFRA (INDIA) LIMITED,2021,Mauritius,501.29
UPL LIMITED,2017,Singapore,480.28
FLIPKART INTERNET PRIVATE LIMITED,2019,Singapore,470.3
AMAZON SELLER SERVICES PVT LTD,2018,Singapore,451.4
VODAFONE IDEA LIMITED,2019,Mauritius,433.16
CLARIS INJECTABLES LIMITED,2017,Singapore,416.91
